id	date	views	dur	mult	denom	n	title
jnxwY6x2Opo	20260825	4513	1497	9.9	455	3	AI 시대, 부동산 투자 전략을 완전히 바꿔야 하는 이유, 모르면 큰일납니다.부동산 전망 / 자율주행 집값 / 대지지분
3bJL8q_o5-I	20260816	15913	1714	35.0	455	3	2045년, 통장에 돈 대신 '쿠폰'이 들어옵니다 | AI 아버지 힌턴의 디스토피아 경고
AU9XQJbqf9k	20260723	362	1272	0.1	6394.5	6	잘나가던 다낭의 몰락, 한국인이 외면한 진짜 이유가 있다
lZ6-ZdMZFkk	20260718	455	1584	0.1	4513	7	AI가 학벌파괴, 이걸 눈치 챈 사람이 큰돈법니다.
BusFMbfd5GY	20260627	97872	1096	54.8	1787.5	4	2040년은 지금과 전혀 다른 세상이 됩니다. 로봇100억대 시대
xxVYbL2EHXc	20260621	3120	969	0.4	8276	5	착한본사가 오히려 독이 된 이삭토스트의 몰락
SOzdk28OmCc	20260616	8276	1339	2.7	3120	5	기지국이 더이상 필요 없다? 통신비 고민 끝! 통신3사 비상걸린 삼성신기술
C9HmWnQks7Y	20260610	384	1257	0.0	8276	7	소문만 무성했던 젠슨 황 한국 일정, 결국 '이것' 때문에 왔습니다
oqsKv_vntpU	20260605	385	1121	0.2	2081.5	8	LG가 2026년 로봇과 AI 핵심기업으로 떠올랐습니다. 그동안 철저히 숨겨온 LG의 반격
oOWqkW_aXi0	20260531	351409	1528	887.4	396	9	미래엔 화폐 대신 이것만 남는다. 머스크가 지목한 진짜 자산
RBKY6OTUKHY	20260523	1043	1056	2.7	384.5	10	삼성전자, SK하이닉스 이제 시작입니다. 관망이 가장 비싼 선택이 되는 이유
zuk0RdqfrBU	20260521	116989	1211	304.3	384.5	10	"일하지마세요" 일론머스크가 한국을 지목했다.
lVSgE9Ir634	20260519	288	1166	0.5	602.5	10	파업 예고일까지 남은 시간은 고작 48시간. 엔디비아,구글  긴장 속 한국 주시
8XLm2N9hasI	20260515	365	1344	0.4	926.0	12	"파업도 월급 인상도 필요 없다" 28년 경력 vs 4개월 학습. 노조가 아틀라스에게 완전히 패배한 이유
WwXPMk2afJE	20260511	396	1235	0.3	1365.0	12	전 세계가 한국에 매달리는 충격 이유.세계의큰손 몰린 '한국산 항공유'…"제발 팔아달라" 치솟는 몸값
3wgmGeO1KvA	20260508	326	1265	0.4	926.0	12	삼성노조 자폭파업, 아무도 응원안하는 진짜이유. 삼성창업부터 현 노조파업상황까지 총 요약.
fJKpgF7Ue_o	20260504	1687	1244	2.1	807.0	14	"망할 때까지 파업했더니 회사가 진짜 문 닫아버렸습니다." 현대제철노조의 몰락
-Rdyd3Jfzr4	20260502	99	984	0.1	1043	15	60년 형제나라 사우디에 등돌린 UAE의 진짜이유. 하필 전쟁중에?
xxw2qftuxFg	20260429	809	1016	1.0	805	13	놀랄준비 되셨나요? 한국이 중동 한복판에서 세계 최초로 성공한 역대급 '이기술'
CK0aumHIB8o	20260427	161102	1133	199.6	807.0	12	"진짜 바닷물로 도시가스를 만든다고?" 사우디도 입 쩍 벌어진 서울대의 미친 기술.  #한국기술 #K조선 #LNG#경제
NLl3D6CfH2k	20260424	17223	1013	21.3	807.0	12	삼성의 역대급 맞대응, 45조 성과급 요구하는 노조의 협박을 무색하게 만든 AI 로봇 선언. "사람 대신 로봇을 쓰겠습니다"
O1Z2VC4bA80	20260421	4130	855	5.1	809	11	한국한테 모두 줘!. 3100만톤 꿈의 광물  몽골이 한국에 독점권을 넘겨준 이유.
3NaEJUk8UcE	20260418	59	546	0.0	1444.5	10	한국 선박, 홍해 첫 안전 통과
JwVcnpy1Hqg	20260416	805	915	0.5	1479	9	"수도 테헤란을 버려라" 석유 부국 이란이 '물 파산'으로 멸망 위기에 처한 충격적 이유.  전쟁보다 무서운 가뭄에 1500만 명의 운명은..
qdnWfR1fI7M	20260415	1410	629	1.0	1479	9	UN과 손잡았다. "반도체 신화는 예열에 불과" 전 세계 193개국이 한국에 줄을 서게 만든 '유엔 AI 허브'의 정체. ㅣAIㅣUN AI HUBㅣ경제학
YNw5_CWFhM8	20260412	1479	504	1.3	1109.5	8	한국을 너무 좋아하는 나라  몽골의 이야기
