id	date	views	dur	mult	denom	n	title
jnxwY6x2Opo	20260825	7060	1497	14.9	475	3	AI 시대, 부동산 투자 전략을 완전히 바꿔야 하는 이유, 모르면 큰일납니다.부동산 전망 / 자율주행 집값 / 대지지분
3bJL8q_o5-I	20260816	17233	1714	36.3	475	3	2045년, 통장에 돈 대신 '쿠폰'이 들어옵니다 | AI 아버지 힌턴의 디스토피아 경고
AU9XQJbqf9k	20260723	371	1272	0.0	7670.5	6	잘나가던 다낭의 몰락, 한국인이 외면한 진짜 이유가 있다
lZ6-ZdMZFkk	20260718	475	1584	0.1	7060	7	AI가 학벌파괴, 이걸 눈치 챈 사람이 큰돈법니다.
BusFMbfd5GY	20260627	105080	1096	58.3	1803.0	4	2040년은 지금과 전혀 다른 세상이 됩니다. 로봇100억대 시대
xxVYbL2EHXc	20260621	3131	969	0.4	8281	5	착한본사가 오히려 독이 된 이삭토스트의 몰락
SOzdk28OmCc	20260616	8281	1339	2.6	3131	5	기지국이 더이상 필요 없다? 통신비 고민 끝! 통신3사 비상걸린 삼성신기술
C9HmWnQks7Y	20260610	386	1257	0.0	8281	7	소문만 무성했던 젠슨 황 한국 일정, 결국 '이것' 때문에 왔습니다
oqsKv_vntpU	20260605	389	1121	0.2	2089.5	8	LG가 2026년 로봇과 AI 핵심기업으로 떠올랐습니다. 그동안 철저히 숨겨온 LG의 반격
oOWqkW_aXi0	20260531	352414	1528	889.9	396	9	미래엔 화폐 대신 이것만 남는다. 머스크가 지목한 진짜 자산
RBKY6OTUKHY	20260523	1048	1056	2.7	387.5	10	삼성전자, SK하이닉스 이제 시작입니다. 관망이 가장 비싼 선택이 되는 이유
zuk0RdqfrBU	20260521	121536	1211	313.6	387.5	10	"일하지마세요" 일론머스크가 한국을 지목했다.
lVSgE9Ir634	20260519	289	1166	0.5	602.5	10	파업 예고일까지 남은 시간은 고작 48시간. 엔디비아,구글  긴장 속 한국 주시
8XLm2N9hasI	20260515	366	1344	0.4	928.5	12	"파업도 월급 인상도 필요 없다" 28년 경력 vs 4개월 학습. 노조가 아틀라스에게 완전히 패배한 이유
WwXPMk2afJE	20260511	396	1235	0.3	1368.0	12	전 세계가 한국에 매달리는 충격 이유.세계의큰손 몰린 '한국산 항공유'…"제발 팔아달라" 치솟는 몸값
3wgmGeO1KvA	20260508	327	1265	0.4	928.5	12	삼성노조 자폭파업, 아무도 응원안하는 진짜이유. 삼성창업부터 현 노조파업상황까지 총 요약.
fJKpgF7Ue_o	20260504	1688	1244	2.1	807.0	14	"망할 때까지 파업했더니 회사가 진짜 문 닫아버렸습니다." 현대제철노조의 몰락
-Rdyd3Jfzr4	20260502	100	984	0.1	1048	15	60년 형제나라 사우디에 등돌린 UAE의 진짜이유. 하필 전쟁중에?
xxw2qftuxFg	20260429	809	1016	1.0	805	13	놀랄준비 되셨나요? 한국이 중동 한복판에서 세계 최초로 성공한 역대급 '이기술'
CK0aumHIB8o	20260427	161153	1133	199.7	807.0	12	"진짜 바닷물로 도시가스를 만든다고?" 사우디도 입 쩍 벌어진 서울대의 미친 기술.  #한국기술 #K조선 #LNG#경제
NLl3D6CfH2k	20260424	17223	1013	21.3	807.0	12	삼성의 역대급 맞대응, 45조 성과급 요구하는 노조의 협박을 무색하게 만든 AI 로봇 선언. "사람 대신 로봇을 쓰겠습니다"
O1Z2VC4bA80	20260421	4139	855	5.1	809	11	한국한테 모두 줘!. 3100만톤 꿈의 광물  몽골이 한국에 독점권을 넘겨준 이유.
3NaEJUk8UcE	20260418	59	546	0.0	1445.0	10	한국 선박, 홍해 첫 안전 통과
JwVcnpy1Hqg	20260416	805	915	0.5	1480	9	"수도 테헤란을 버려라" 석유 부국 이란이 '물 파산'으로 멸망 위기에 처한 충격적 이유.  전쟁보다 무서운 가뭄에 1500만 명의 운명은..
qdnWfR1fI7M	20260415	1410	629	1.0	1480	9	UN과 손잡았다. "반도체 신화는 예열에 불과" 전 세계 193개국이 한국에 줄을 서게 만든 '유엔 AI 허브'의 정체. ㅣAIㅣUN AI HUBㅣ경제학
YNw5_CWFhM8	20260412	1480	504	1.3	1109.5	8	한국을 너무 좋아하는 나라  몽골의 이야기
