id	date	views	dur	mult	denom	n	title
6NRwvp5jtjI	20260827	33	1160	0.0	2237.0	8	5년 묶는 펀드 vs 바로 파는 ETF | 3,000만 원 똑같이 넣고, 남는 돈이 갈립니다
U91lgTMXe5Y	20260826	32	1194	0.0	2237.0	8	`-30% 물린 주식?', 아직 살아 있는지 보는 신호 4가지
r4bauP4k4RU	20260825	914	1276	0.4	2237.0	8	""저는 아직 안 팔았습니다" 주식에서 돈을 잃는 4단계 | 따라 사기→물 타기→못 팔기→원금 기다리기"
CP9F6WfbYLs	20260824	2176	1145	1.1	1927.0	8	"내 나이에 얼마 있으면 부자일까?" 한국 연령별 평균 순자산
xQrrPzRO3Mk	20260822	3778	1229	2.0	1866.0	8	주식 계좌 1억, 대한민국에서 상위 몇 %일까
UJYwwpnTP4I	20260821	2298	1185	1.2	1866.0	8	금융자산 10억이 생기면 실제로 겪게되는 일 (현금흐름·세금·건보료)
TxSTmhN8PaQ	20260816	2365	1066	1.3	1851	9	"모아 둔 돈은 곧 종이가 됩니다. 머스크가 3년 뒤 그 자리에 앉힌 진짜 자산",
CKEBf-52HBo	20260810	9320	1105	5.0	1851	9	"10년 뒤 쓸 돈은 모으지 마세요" 머스크의 미래 예측이 현실이 되는 진짜 이유
EfzrxJzqExk	20260809	1556	1021	0.7	2176	9	역대급 상승장에도 내 주변에 주식으로 웃은 사람이 아무도 안 보이는 이유
dR4VbrbwP8Y	20260728	1851	1188	0.8	2365	3	"이런 아파트 사지 마세요", 사는 순간 5천만 원이 증발하는 함정 7가지
