id	date	views	dur	mult	denom	n	title
-D_ivKMNlT8	20260825	6620	1355	2.1	3119.5	12	중국 러시아 초비상 뒤에 웃는 김정은, 북한에 결국 터진 붕괴신호?
MM0PmE6hnsY	20260823	3010	1296	0.9	3229	13	폭우로 북한군 통째로 초토화" 북한 아수라장 된 현재 상황
HxchNbnDQhY	20260820	2617	1272	0.9	3010	15	김정은 숨겨둔 아들? 평양에 쫙 퍼진 소문, 아수라장 된 진짜 이유
xoH9wKzVHLg	20260817	576	1376	0.2	3010	17	한국이 숨겨온 북한 붕괴 시나리오. 김정은이 전쟁 버튼을 못 누르는 이유
Qv0IjyQ5wwA	20260815	3642	1332	1.3	2813.5	18	중국도 러시아도 손사래 친다, 10년 매달린 '이곳' 북한 김정은이 놓지 못하는 이유
vYrWQafDm3M	20260813	3229	1324	1.2	2617	19	북한 사실상 주민 쿠데타 시작됐다, 평양이 아수라장 된다.
fTvk3cxka00	20260812	20399	1337	8.7	2353.0	20	북한에 이미 터진 붕괴 신호, 러시아가 무너지면 김정은도 끝입니다
OMhhJwCgKwk	20260811	4965	1251	2.0	2510	21	중국 뒷배가 무너지면 김정은도 끝입니다, 북한에 켜진 붕괴 신호
7ae__hB3pUw	20260810	269	1332	0.1	2617	21	북한 붕괴 초비상, 곧 평양이 아수라장 된다… 중국도 러시아도 등 돌린 진짜 이유
y1alNIDBUtE	20260809	685	1216	0.3	2563.5	22	북한 초비상, 곧 평양이 아수라장 된다. 2달 뒤 드러나는 '평양행의 진짜 이유'
SVTBxWeHR3c	20260808	20944	1320	9.1	2299.5	22	북한 사실상 쿠데타 상태 곧 평양이 무너져내린다
qD5E2CQnw78	20260806	163503	1290	79.2	2065.0	24	러시아가 무너지면 김정은도 끝입니다, 북한에 켜진 붕괴 신호
N7PuVL6fu90	20260804	819	1366	0.3	2510	25	러·우 전쟁으로 떼돈 번 김정은... 그 돈으로 대체 뭘 샀을까?
Pl4sXIisEpI	20260803	203	1354	0.1	2089	25	북한은 전쟁 준비? 김주애 4대 세습이 앞당긴 도발 시계
OE-MD0FrsNM	20260731	638	1383	0.3	2089	25	김정은을 숙청하라!" 쌓여가는 유가족 분노,  나락으로 떨어진 김정은 신앙
SWc9aRvoLY8	20260730	2089	1381	1.0	2041	25	하늘을 장악한 한국, 북한 피눈물을 흘리게 되는 진짜 이유
8Xe_TDm6OSI	20260729	1949	1291	1.0	2041	25	김정은이 심상치 않다. 정작 한국인 99%가 잘 모르는 휴전선 근황
YXfG3Pp9p3w	20260727	3721	1310	2.1	1812	27	김주애 사라졌다?" 김여정 결국 쿠데타 시작인가, 아수라장 된 북한 진짜 상황
kHwR3xw_bN0	20260726	8305	1343	4.6	1812	27	김정은을 숙청하라!" 쌓여가는 군부 분노, 나락으로 떨어진 김정은
e0p1oltmgO0	20260723	2041	1228	1.4	1470	29	휴전선 코앞까지 찍힌 북한군 전술도로, 그러나 위성도 못 보는 우리 발밑 북한 땅굴의 실체
UFRU8VJ0vG4	20260722	379	1313	0.2	1812	29	북한 휴전선 코앞 도로, 방사포 요새 구축 중 남의 전쟁 구경할 때 아닙니다
lQA2rI7z29c	20260721	2510	1410	1.7	1470	29	북한 중국이 벌벌 떤다" 수출조차 막힌 한국 미사일, 왜 이렇게 강한가
cBSza52489I	20260719	404	1122	0.2	1806.0	28	북한이 무너지고 있다" 김정은도 손쓸 수 없는 붕괴의 신호들
_kuKpsvqJ9M	20260717	456	1309	0.3	1806.0	28	김정은을 숙청하라" 500억짜리 시체의 정체, 그 돈에 북한 인민이 죽어나갔다
xpKrfBTRBDw	20260716	1812	1256	1.0	1800	29	김정은이 모리타니 대통령 홀대한 대가, 손님 비행기마저 못 뜨게 막은 중국 쿠바
7O3NNsUeMvY	20260715	22185	1286	12.3	1800	29	김정은을 숙청하라!" 쌓여가는 주민들 분노, 30년 전 아버지처럼 나락으로 떨어진 김정은
8GfnUAZgAt4	20260713	1088	1330	0.6	1880.5	30	북한이 목숨 걸고 숨긴 USB.. 김정은이 만든 디지털 감옥의 진짜 실체
c8ymPt09fgg	20260712	3046	1337	1.7	1812	31	김주애는 왜 사라졌나, 김여정 본격적 쿠데타 시작? 피바람으로 물든 북한 실제 상황
QxqcqQS1Too	20260708	436	1507	0.2	1812	33	자빠진 군함 보고도 북한 군사력에 자신만만한 김정은?
pXUksk3Plt4	20260707	641	1522	0.4	1812	33	한국 vs 북한 군사력 차이, 北 전투 능력에 자신만만한 김정은?
EyjgNganM6U	20260706	743	1540	0.4	1901.5	34	러시아마저 등 돌렸다, 벼랑 끝 김정은이 원산에서 꺼낸 마지막 선택
8dSiCMOk4JI	20260705	1470	1464	0.8	1812	33	북한군 반란 조짐 포착, 북한 붕괴 이번엔 진짜 쿠데타 신호로 평양이 아수라장 직전
VrbijcPMLFs	20260704	527	1486	0.3	1812	33	김정은 마지막 동아줄 러시아 초토화, 드론 한 발로 크림반도 러시아 11만 고립, 북한 초비상 평양이 얼어붙었다
mFrzNq7MqQk	20260703	2454	1492	1.4	1806.0	34	꼭 데리러 와달라" 북한군 포로 두 명에… 김정은이 벌벌 떠는 이유
7Rx8ioZ9ChQ	20260702	602	1500	0.3	1991	35	김정은이 숨기려 한 한국의 7일… 북한 축구 선수단 다녀간 뒤 싹 다 들통났다.
csLLa9CTxJU	20260701	1991	1605	1.1	1812	35	북한 붕괴 초비상, 곧 평양이 아수라장 된다. 시진핑이 '평양행에서 김정은에게 던진 진짜 경고'
dUiCjflB4P0	20260630	3738	1511	1.9	1991	35	주한미군 심상치 않다, 북한 곧 무시무시한 일 터진다
roEvDh0lnjo	20260629	1800	1503	0.9	1991	35	북한 김정남이 남긴 아들 김한솔, 김정은이 친형을 독살한 진짜 이유
5oF4ItkRJRY	20260627	1719	1490	0.8	2222.5	34	김정은의 충격적인 사치와 기쁨조의 비밀, 굶주리는 북한 주민의 진실
-GMatgWORh0	20260626	3859	1490	2.1	1812	35	한국 핵잠 추진에 발끈한 김정은, 본인은 아닌척 가지고 있는 8700톤 핵잠의 정체
GyveRQHGLjg	20260625	15752	1560	8.7	1812	35	김주애는 왜 사라졌나, 북핵 부메랑에 얼어붙은 평양
OHpTdbm0cdE	20260624	3173	1596	1.6	1991	35	평양 곧 아수라장 된다. 미국에서 이미 터진 위험신호
