id	date	views	dur	mult	denom	n	title
mJQO_naYJ6Q	20260822	239188	1602	0.8	317149	3	'가장 빠르게 성장하는 신흥종교' 죽음의 신을 숭배하는 종교 '산타 무에르테'
C0Bafi4kNAI	20260819	141557	1234	0.5	298845.0	4	'약탈 살인 방화' 이민 온 흑인들을 불태워라 '남아공 흑흑갈등'
Re9PGqyZPTE	20260811	412329	1220	1.7	239188	5	'규제하되 풀어준다' 통제와 욕망 단속과 우회 '일본 AV산업이 발전한 이유'
1eVqKeh07sM	20260805	317149	1994	1.2	259864.5	6	'중국과 러시아를 믿은 최후' 20분마다 기업 한 개가 폐업한다 '독일 제조업의 몰락'
_LqMvAwA9bM	20260729	280541	1450	0.9	317149	7	'이스라엘의 개로 불리는 중동의 보이지않는 권력자' 신자도 교리를 모르는 신비주의 종교 '드루즈교'
7SPJ5gukq9A	20260724	160846	701	0.5	317149	7	'한국인은 진짜로 체취가 안난다' 외국인들이 체취가 심한 이유
zWafsawPskY	20260720	320376	1502	1.1	280541	7	'한국 마약 사용량 1위' 일본과 한국을 지배한 마약 '필로폰'
kItbgon6Bk0	20260714	303400	1125	1.0	297168.5	8	'40도 폭염인데 에어컨 설치비만 1000만원' 진짜 더위를 맛보고 미쳐돌아가는 유럽...유럽에 에어컨이 없는 이유
ibJmLMLxjNg	20260711	744055	1271	2.5	291970.5	8	'모든 기회를 저버린 나라' 이제는 기회도 희망도 없다...필리핀의 미래가 답도 없는 이유
_ht-MN57J7U	20260707	215814	1342	0.7	320376	9	'불가촉천민의 땅' 인도인들도 차별하는 지역...가장 가난한 땅 살아있는 지옥 '비하르'
YRvVZJIWi98	20260701	276725	1077	0.8	344204	9	'사라진 서울의 섬' 9200만톤의 쓰레기산에서 4000명이 살았던 서울의 쓰레기섬 '난지도'
tzKoP1PoeL0	20260625	313796	1573	0.9	344204	11	'우리도 개혁개방 하겠다' 북한에 홍콩같은 자본주의 경제특구를 만들어라 '신의주특별행정구'
4xUoUe_vpAM	20260623	464599	1280	1.4	323579	11	'저 지역 출신들은 전부 뒤통수치는 사기꾼이고 범죄자다' 중국에서 가장 멸시받고 차별받는 지역 '허난성'
UN9YZeI3eUM	20260618	408743	931	1.2	333891.5	10	'펜타닐의 25배' 서아프리카를 덮친 재앙 국가 비상사태를 선포하게 만든 좀비마약 '쿠시'
R6UFyZec65A	20260616	344204	1232	0.9	374774	11	'물도 안나온다' 빈곤율 40% 흑인비율 80% 미국에서 가장 가난한 도시 '미시시피주 잭슨시'
9RalG5fuhKQ	20260612	374774	1376	1.0	376473.5	10	'디폴트 선언할게요' 중국 경제위기의 축소판 빚만 500조 중국에서 가장 가난한 지역 '구이저우성'
-B0_Gff537w	20260609	292144	1119	0.7	391758.5	10	'중국 정부도 못막는다' 수천만원에 거래되는 젊은 여성의 시신...중국의 기괴한 풍습 '영혼결혼식(명혼)'
hu8ZJGWfZkg	20260608	686638	1124	1.9	365300.0	10	'피부가 썩고 좀비처럼 변한다' 단 한번으로 몸과 뇌가 망가지는 가장 위험한 약 '크로코딜'
ofar-i5W7OU	20260605	323579	1319	0.8	391758.5	12	'복지축제는 끝났다' 사회주의 실험은 실패했다...복지천국에서 자본주의 천국으로 방향을 바꾼 스웨덴
uIPXSZ9TJro	20260530	772835	1438	2.0	391758.5	12	'일단 맞고 시작하자' 범죄자에게 인권은 없다 세상에 가장 잔인한 감옥 '흑돌고래 교도소'
S-CqRClw6Z0	20260527	503614	1001	1.4	365300.0	12	'세계 최대의 홍등가' 국가가 허락한 매춘굴 '인도 소나가치'
sUqHKrtD0WI	20260520	355826	1020	0.7	503614	13	'북한의 에버랜드' 수령님 안전바가 안내려가요...가장 정치적인 놀이공원 '만경대 유희장'
8fd-ftTFxWI	20260516	171966	1247	0.4	429720.0	12	'소련이 만든 비밀의 섬' 지도에서 지워진 소련의 생화학무기 실험장 '보즈로즈데니야 (아랄스크-7)'
6W5dkObyOPQ	20260515	795706	997	2.3	339702.5	12	'노예시장이 돌아왔다' 몇십만원에 거래되는 흑인 노예들 '리비아 흑인 노예시장'
tneEr6DvreU	20260513	545298	1176	1.4	393874.0	12	'배려가 권리가 됐다' 이제 말장난은 끝났다...오만과 도덕적 우월감으로 더럽혀진 'PC주의의 몰락'
pWOHwW7hxZ0	20260509	537265	1087	1.2	431922	13	'성직자가 포주다' 교리를 악용한 성매매 1시간짜리 결혼 '이라크 쾌락혼 무타아'
hBgGqVIyAJU	20260507	178507	1752	0.4	467768.0	12	'격변하는 석유시장' 미국은 웃고있다...달러 패권부터 미국과 이란의 전쟁까지 '아랍에미리트가 OPEC을 탈퇴한 이유'
vh3RXM_ikbc	20260504	189436	1122	0.5	415027.0	12	'붕괴는 내부에서 시작된다' 극단화 혐오 포퓰리즘 모든 문제의 시작점 '가난과 빈부격차는 어떻게 사회와 국가를 망치는가'
2fb2hxS9ckI	20260502	666630	1241	1.8	376979.0	12	'미국 유럽 여성들의 낙원' 서양 최대의 매춘국가 서양의 태국 '도미니카 공화국'
iR-hdu410l4	20260501	237640	923	0.6	398132	13	'쓰레기와 사는 사람들' 이집트 카이로의 최대 빈민가 쓰레기 도시 '멘시예트 나스르'
Lqe5Ns39QSQ	20260425	282863	2050	0.7	398132	13	'중국이 미국에 개길 수 있는 이유' 중국이 90%를 지배했다...중국이 가진 최강이자 비장의 카드 '희토류'
adz0j4-wHoo	20260423	431922	1465	1.1	386049.5	12	'혼을 잃었다' 사실상 항복선언...23조 손실과 개발중단 전기차 시장 철수까지 '추락하는 혼다'
EaRIZOS2n8Q	20260419	1166450	1126	3.6	328415.0	12	'아시아의 병자' 가라앉고 있지만 의지도 능력도 없다...'태국 경제의 미래가 어두운 이유'
OyeTqYAxaIM	20260414	398132	1185	1.4	289542.0	12	'대중성도 예술성도 없다' PC주의와 오만 등을돌린 관객들 '할리우드의 몰락'
5WSL-BD-Wm4	20260410	373967	1228	1.3	296221	11	'아프리카는 지옥이 될 것이다' 이스라엘이 연 판도라의 상자 '소말릴란드'
ddrLxjLhcpA	20260407	265497	951	0.7	382997	11	'고도의 돌려까기' 교토인들은 겉과 속이 다르다...음침함과 예의 사이 '교토식 화법 이케즈'
zHwmMQoepik	20260402	690673	1089	1.8	373967	11	'보이는대로 죽여라' IS의 타겟이 된 중국
p-ddKzYfuUk	20260329	233621	858	0.6	382997	11	“1000명 중 1명은 살해당한다” 살인율 1위 도시 ‘셀라야’
XSlmnhFpegQ	20260328	232784	1143	0.6	378482.0	10	'세상에서 가장 우울한 도시' 영하 50도 극야와 백야 붉은 강이 흐르고 눈마저 매연으로 검게 물든 도시 '노릴스크'
k6k09WgBDHw	20260325	296221	1103	0.8	382997	11	"40대도 독립 못한다" 사회문제가 된 집을 떠나지 않는 늙은 아기들 '밤보초네'
