id	date	views	dur	mult	denom	n	title
y3KYpdw5Rbg	20260826	702	1378	0.2	4461	27	"한국보다 잘 살던 나라" 필리핀의 미래가 답도 없는 이유
CaEPHhGdpog	20260825	1307	1382	0.3	4271.5	28	"마윈은 그날 이후 사라졌습니다" 중국이 미국을 절대 못 이기는 진짜 이유
eZBlrABoHWg	20260824	1913	1386	0.5	3978.0	30	명품 뒤에 숨겨진 진실, 이탈리아 경제가 무너진 이유
w-rljMLtoEw	20260823	15009	1406	4.3	3527.0	32	"여긴 중국보다 더하다는 말이 나오는 이유" 한국 기업들이 인도에서 겪고 있는 일
P5VDpuddPiA	20260822	4082	1353	1.2	3527.0	34	"전원 켜는 순간 중국 서버에 접속합니다" 실측으로 확인된 백도어
8IobMQ6bgmU	20260821	2655	1449	0.7	3874	35	본토에선 이익 반토막난 중국 카페 브랜드가 한국을 고른 이유
KHqsWCwOhmY	20260820	1031	1440	0.3	3978.0	36	"나랏돈 1150억 '중국산'에 퍼줬다" 중국산 테슬라 통과시킨 한국 보조금의 구멍
HUD6HKYFxvI	20260819	80224	1459	22.7	3527.0	36	베이징이 유령도시가 된 진짜 이유
QzFrijl5yas	20260818	65185	1393	18.5	3527.0	36	"상하이가 점점 비어가고 있다" 중국 상하이의 몰락
q2KPvbVUdxA	20260817	80467	1376	22.1	3645.5	38	미국과 경제대국을 이루던 유럽이 한순간에 몰락한 이유
RV2cLuk456c	20260817	2178	1398	0.6	3774.5	38	'엔저 막아라 미일 환율공조' 엔화가 똥값된 진짜 이유
NZH8BZZuMqE	20260816	1984	1377	0.5	3774.5	38	"첫 2척은 한국서 만드세요" 잭팟 터진 K-조선 근황
MvO_MpCKsXo	20260816	9889	1363	2.7	3645.5	38	"정의선 회장실도 쳐들어갈 기세" 임원실 박살 낸 '현대차 노조'의 최후
mRcB2db0BF4	20260815	3051	1376	0.8	3774.5	38	"청년들 총알받이로 쓴 김정은" 북한 '경제 부활'의 실체
ww9aDe-fJG4	20260815	980	1360	0.3	3774.5	38	트럼프 "호르무즈 미국 영토로 발표할 것" 목줄 잡힌 이란과 중국의 최후
CmE9Mxyl_T8	20260815	889	1366	0.2	3774.5	38	"여기 앉으려면 돈 내세요" 나라 땅에서 자릿세 걷어 한 철 수천만 원 버는 사람들
ouVJnf8R4Zs	20260814	4461	1328	1.2	3645.5	38	"국밥한테 항복했습니다" 4,300원 세트까지 내놓은 미국 햄버거 제국의 속사정
eg35XGunWcg	20260814	6412	1366	1.8	3645.5	38	"하룻밤에 15만 원 내세요" 바가지가 무너뜨린 10조 캠핑 시장의 최후
9C4VUlW1Lc4	20260813	1655	1353	0.4	3874	39	해외에서 난리난 한국 급식 실제 수준
_MLh-O3uTXg	20260813	565	4251	0.1	3874	39	[이재용 회장 통합본] 이재용 회장이 20년 지기 청소 미화원 빈소를 홀로 찾은 이유
LzC66s0W6ns	20260812	58286	1418	15.4	3774.5	40	"중국 실제 인구는 8억?" 증발한 중국 인구의 실체
zCA621_hpE8	20260811	72275	1316	18.7	3874	41	세계 명품 스포츠 브랜드를 사들인 중국의 공식
4xT4PSIjdZM	20260810	11209	1388	2.8	3970.5	42	"반값에도 안팔려요" 짐이 되어버린 중산층 5대 취미의 비참한 결말
yaPRm39q-jA	20260809	10048	1329	2.5	4067	43	"애플이 줄을 섰습니다" 15년 갑질의 청구서가 도착한 날
sxmUY6JnlEY	20260808	53009	1337	13.0	4067	43	애플의 중국 사업이 무너지고 있는 이유
4Z7aLKAZgNU	20260807	39955	1364	9.8	4074.5	44	"소주도.. 맥주도 안 팔려요" 술집의 몰락
5NTzUdMRorA	20260805	3874	1208	0.9	4098.5	46	"응원은 하는데 안 사먹게 되더라" 줄폐업 위기중인 이삭토스트 근황
s30K71blbWA	20260805	4910	1220	1.2	4074.5	46	동대문에서 기분 상해본 기억, 다들 한 번쯤 있으실 겁니다
