id	date	views	dur	mult	denom	n	title
1q5YKR57af4	20260826	2466	3598	1.0	2385.5	18	일대일로의 허상, 56개국이 매긴 반중 성적표, 그리고 중국 안에서 터진 부메랑 [통합본]
wgX9agdqzNs	20260825	151	1130	0.1	2400	19	`싸게 만들려 위구르를 밀어 넣은 대가, 중국 187곳에 찍힌 지워지지 않는 낙인`
x0WLKbOV-9Q	20260824	16913	3303	7.1	2371	19	핵무기의 저주, 13조를 삼킨 러시아, 그리고 천년 숙적 중국 [통합본]
NifqrMwYeMU	20260824	5306	1110	2.2	2371	19	"손도 못 대던 간부가 잡혀갔다" 술렁이는 평양, 1997년 심화조처럼 제 칼에 베인 보위성
lNm5bLoaKJc	20260822	2318	1097	1.0	2400	19	"1억 3천 쓰고 빈손으로 돌아왔다" 중국 유학생 53만 명이 한꺼번에 밀려난 진짜 이유
jc-ef3bV7Ic	20260821	2400	1149	1.0	2371	19	"도시에 사람이 없다" | 사람 제일 많다던 중국이 20대 213만 명을 밀어낸 이유 | 계획서에 적힌 여덟 글자와 불 꺼진 베이징 창문
6ft_Ayp_xD0	20260819	2051	1148	0.9	2400	19	"48시간 안에 나가라" | 돈줄을 쥔 중국이 니제르에서 대표 3명을 사흘 만에 잃은 이유 | 계약서에 심어 둔 조항과 되돌아오지 않는 돈
qZYJO--Z4jc	20260818	7651	1078	3.2	2371	19	`중국 인구 14억은 허상이다? \| 소리 없이 지워진 중국 14억 인구의 행방 \| 하루에도 문 닫는 학교와 장부에만 남은 사람들
CrXCdbbuVEE	20260817	3000	1118	1.3	2371	19	"예순 넘으면 나가라" | 일손 넘친다던 중국이 국경 마을에 하루 10만 명을 들여앉힌 이유 | 중국이 제 인부를 나이로 잘라내고 국경 밖에서 메운 자리
C_iAv0sKVpE	20260816	2458	1091	1.0	2371	19	1,890조 뿌린 중국이 받아 든 지옥의 청구서 | 남의 통장까지 잡아 놓고 현금은 한 푼도 못 만진다
CRX1Pk4jYDY	20260815	1640	1106	0.7	2400	19	"6만 채를 쓸어 담았다" 중국 부자들이 이 동네부터 사들인 이유
7C-s4Kf9FhE	20260814	66689	1295	28.1	2371	19	"전원 지금 당장 돌아와라" | 세계의 공장 중국이 인도에서 기술자 300명을 걷어들인 이유 | 일대일로가 남긴 빚더미와 비어 가는 중국 공사판
yAWJIXMQVss	20260813	5029	1284	2.1	2371	19	"일본 한마디에 뒤집어졌다" 발등 찍힌 중국 속사정
euDQTqxyn78	20260812	2371	1338	1.0	2400	19	"중국 공장 싹다 빼" 삼성이 34년 된 중국 공장 버리고 나온 이유
ysHQ-U4kM-k	20260811	488	1375	0.2	2400	19	"중국 청년들이 완전히 포기했다" 중국 공무원들이 월급을 못 받고 있는 중국 지금 벌어지는 일
-lvhwfjkKns	20260810	55882	1329	23.6	2371	19	'다시는 안 속는다' 56개국이 매긴 성적표...어쩌다 온 세계가 중국에 등을 돌렸나 '반중정서'
jndxTqE5iUw	20260809	760	1268	0.3	2400	19	"바닷길 하나면 끝장난다" 1조 달러 벌어들인 중국이 전쟁만은 못 꺼내는 속사정
bUrN6YX93pE	20260808	91	1229	0.0	2400	19	"우크라이나 판을 뒤집었다" 12년 만에 크림반도 되찾나
kNudS5EmgpA	20260805	298	1348	0.1	2400	19	사람도 기름도 밑천 바닥 러시아 북한 거덜 난 이유 | 북한군 3만 명 파병
_9813h4N6Dg	20260804	219	1382	0.1	2385.5	18	"중국산 쌀·떡 카드뮴 15만 7천 톤", 원산지를 확인해도 국가명이 없다
