id	date	views	dur	mult	denom	n	title
LQlKUkGU23g	20260822	105	1471	0.0	11581.5	36	빅테크 기업 앞으로 더 갈겁니다.  여전히 부족한 공급  반도체 AI 사이클 전망
IN56QZtXmXw	20260821	3727	1422	0.3	11581.5	38	은퇴하고 무너지는 사람들의 5가지 공통점
g45m3De3D-M	20260820	10498	1392	1.0	10601.0	40	연금저축은 이렇게 활용해야 돈이 쌓입니다.
SLmxz2IOa_k	20260819	26033	1472	2.5	10245.0	42	ISA 개설부터 만기 해지까지 부자되는 전략 총정리
I3-Up8QGbcU	20260818	11210	1399	1.1	10245.0	44	"부자들이 더 부자되는 시기" | 이번 사이클 끝나면, 부자들만 살아남습니다
ztlNzqArChw	20260818	5770	1342	0.5	10854.0	44	의외로 잘 모르는 엔화 약세의 진짜 이유. 이걸 알아야 앞으로의 경제가 보입니다.
xtKgPnxXenA	20260817	7327	1407	0.7	10854.0	46	"계란 나눠 담지 마라" 시드머니 1억 미만일때, 분산투자? 한종목 몰빵?
U4lEeRDKZD0	20260817	6538	1351	0.6	10854.0	46	현시점 삼전, 하이닉스 지금 사면 "역대급 세일일까? 함정일까?"
_5H7MVsb1Rk	20260816	9409	1349	0.9	10854.0	48	월급 250만원으로 20억 만드는 법 | "떨어져도 계속 사세요"
81c1g3RiDE8	20260816	40314	1333	3.9	10245.0	48	"월 배당 500" 나오는 비밀 ETF 포트폴리오
aepM7E3vsTs	20260815	22048	1361	2.2	10245.0	48	"지금이라도 하셔야합니다." 무섭게 부자되는 주식 투자법
cPG7tHytnXQ	20260815	8828	1311	0.8	10854.0	48	돈 없는 초보 투자자라면, S&P500 이렇게 사면 됩니다.
3ifkMdm4Vs4	20260814	6329	1262	0.5	11581.5	50	지금 안 사면 뒤처집니다. 10년 뒤에 양극화가 더 심해지는 이유
u_PwRygNMAY	20260814	5951	1368	0.5	11581.5	50	월 200만원 받는 배당투자, S&P500 얼마씩 넣어야 할까?
NID7VESSER8	20260813	169913	1352	15.2	11210	51	달러 패권의 진짜 전략, 한국 투자자가 놓치면 안 될 것
WuQx7h9EYaQ	20260813	9992	1326	0.8	11953	51	"빚도 자산이 된다?" 부자들이 레버리지를 쓰는 진짜 이유
1-M2uIaVoKs	20260812	77598	1302	6.5	11953	53	"조용히 부자 되는 3가지 비밀" 부자들은 다 돈을 이렇게 씁니다.
vrZKuTGJsQU	20260812	11953	1717	0.9	12699	53	"평생 출근 안해도 월급 들어오는 배당주"로 노후준비 끝내기
6cl5SaV94lA	20260811	5385	1336	0.4	12747.5	54	0810 01   최고의 투자는 앞으로도 미국일 확률이 높습니다
JREdVuRBv9U	20260810	290015	1388	23.5	12326.0	56	같은 S&P500인데 세금 970만 vs 3700만원…종목 아니라 '이것' 때문입니다
rHKJbvIGft8	20260810	2215	1384	0.2	12747.5	56	"2배 벌려다 4배 잃었다" 레버리지 절대 하면 안 되는 5가지 이유
PEnNxbBd5eY	20260809	222422	1356	17.5	12699	57	돈이 스스로 일하기 시작하는 시작점
4ZFm8I710Hc	20260809	36008	1318	2.8	12699	57	"드디어 환율 떨어지나?" 원화 강세의 진짜 이유
Ltwk6hb-f7Q	20260808	31092	1271	2.4	12747.5	58	똑같이 주식으로 돈 벌어도 결국엔 망하는 사람 특징
w16d0-7fRA0	20260808	3366	1350	0.2	16854.5	58	이번 코스피 조정, 절대 팔지 마세요.
MHhrnW-0Fig	20260807	41192	1589	2.4	16854.5	60	부자들이 자산을 폭발적으로 키우는 5가지 방법
zGUYV2h4f_M	20260807	12699	1526	0.6	21480.5	60	다시 급등하는 반도체? 주가 폭등의 진짜 이유.
SdJZoK0YBlw	20260806	3441	1408	0.2	21480.5	62	진짜 주식으로 돈 벌고 싶으면 지루해야합니다.
V4U7fqescuA	20260806	56934	1543	3.4	16854.5	62	완벽한 노후준비를 위한 종목, 계좌, 금액 전부 알려드립니다!
s0Eq_VrFt_A	20260805	112655	1326	6.7	16854.5	64	"ETF 투자 10년차" 가 첫 투자로 다시 돌아간다면 절대 안 할 5가지
MNUUqEnQBOc	20260804	3820	1606	0.2	16854.5	66	반도체 10배 오른 거, 지금 사면 안 되는 이유.  대신 이렇게 투자하세요
vIJ49BrbFc8	20260804	162977	1371	12.8	12747.5	66	자본주의 사회에서 경제적 자유를 누리는 돈의 구조
TOr7yxkT80M	20260803	103601	1385	7.1	14564.0	68	개미들이 주식 열심히 해도 "100만원도 못버는 3가지 이유"
PV4C-FhvaXs	20260803	5363	1300	0.3	18622.5	68	절대 가난해지지 않는 법칙 10가지 돈 관리 원칙
