id	date	views	dur	mult	denom	n	title
9mcyzZZtkek	20260823	8131	1430	0.7	11053.5	36	"이제는 무지성으로 모으지마세요" 이 정도 비율이 제일 안전합니다
Efod201DJg4	20260823	4105	1371	0.4	11053.5	36	2030, 4050 각각 성공하는 투자법은 완전히 다릅니다.
LQlKUkGU23g	20260822	3198	1471	0.3	12379.5	38	빅테크 기업 앞으로 더 갈겁니다.  여전히 부족한 공급  반도체 AI 사이클 전망
IN56QZtXmXw	20260821	5821	1422	0.5	12379.5	40	은퇴 후 절대 하면 안 되는 5가지
g45m3De3D-M	20260820	13185	1392	1.2	10775.0	42	연금저축은 이렇게 활용해야 돈이 쌓입니다.
SLmxz2IOa_k	20260819	44614	1472	4.1	10775.0	44	ISA 개설부터 만기 해지까지 부자되는 전략 총정리
I3-Up8QGbcU	20260818	14122	1399	1.3	10775.0	46	"부자들이 더 부자되는 시기" | 이번 사이클 끝나면, 부자들만 살아남습니다
ztlNzqArChw	20260818	6456	1342	0.5	11770.5	46	의외로 잘 모르는 엔화 약세의 진짜 이유. 이걸 알아야 앞으로의 경제가 보입니다.
xtKgPnxXenA	20260817	7717	1407	0.7	11770.5	48	"계란 나눠 담지 마라" 시드머니 1억 미만일때, 분산투자? 한종목 몰빵?
U4lEeRDKZD0	20260817	6683	1351	0.6	11770.5	48	현시점 삼전, 하이닉스 지금 사면 "역대급 세일일까? 함정일까?"
_5H7MVsb1Rk	20260816	9989	1349	0.8	11770.5	50	월급 250만원으로 20억 만드는 법 | "떨어져도 계속 사세요"
81c1g3RiDE8	20260816	42208	1333	3.9	10775.0	50	"월 배당 500" 나오는 비밀 ETF 포트폴리오
aepM7E3vsTs	20260815	25235	1361	2.3	10775.0	50	"지금이라도 하셔야합니다." 무섭게 부자되는 주식 투자법
cPG7tHytnXQ	20260815	8908	1311	0.8	11770.5	50	돈 없는 초보 투자자라면, S&P500 이렇게 사면 됩니다.
3ifkMdm4Vs4	20260814	6360	1262	0.5	12379.5	52	지금 안 사면 뒤처집니다. 10년 뒤에 양극화가 더 심해지는 이유
u_PwRygNMAY	20260814	6078	1368	0.5	12379.5	52	월 200만원 받는 배당투자, S&P500 얼마씩 넣어야 할까?
NID7VESSER8	20260813	184250	1352	15.3	12049	53	달러 패권의 진짜 전략, 한국 투자자가 놓치면 안 될 것
WuQx7h9EYaQ	20260813	10058	1326	0.8	12710	53	"빚도 자산이 된다?" 부자들이 레버리지를 쓰는 진짜 이유
1-M2uIaVoKs	20260812	80992	1302	6.4	12710	55	"조용히 부자 되는 3가지 비밀" 부자들은 다 돈을 이렇게 씁니다.
vrZKuTGJsQU	20260812	12049	1717	0.9	12801	55	"평생 출근 안해도 월급 들어오는 배당주"로 노후준비 끝내기
6cl5SaV94lA	20260811	5486	1336	0.4	12993.0	56	0810 01   최고의 투자는 앞으로도 미국일 확률이 높습니다
JREdVuRBv9U	20260810	290777	1388	22.8	12755.5	58	같은 S&P500인데 세금 970만 vs 3700만원…종목 아니라 '이것' 때문입니다
rHKJbvIGft8	20260810	2283	1384	0.2	12993.0	58	"2배 벌려다 4배 잃었다" 레버리지 절대 하면 안 되는 5가지 이유
PEnNxbBd5eY	20260809	230230	1356	18.0	12801	59	돈이 스스로 일하기 시작하는 시작점
4ZFm8I710Hc	20260809	51659	1318	4.0	12801	59	"드디어 환율 떨어지나?" 원화 강세의 진짜 이유
Ltwk6hb-f7Q	20260808	31805	1271	2.4	12993.0	60	똑같이 주식으로 돈 벌어도 결국엔 망하는 사람 특징
w16d0-7fRA0	20260808	3373	1350	0.2	13653.5	60	이번 코스피 조정, 절대 팔지 마세요.
MHhrnW-0Fig	20260807	41824	1589	3.1	13653.5	62	부자들이 자산을 폭발적으로 키우는 5가지 방법
zGUYV2h4f_M	20260807	12710	1526	0.6	19678.5	62	다시 급등하는 반도체? 주가 폭등의 진짜 이유.
SdJZoK0YBlw	20260806	3492	1408	0.2	19678.5	64	진짜 주식으로 돈 벌고 싶으면 지루해야합니다.
V4U7fqescuA	20260806	62011	1543	4.5	13653.5	64	완벽한 노후준비를 위한 종목, 계좌, 금액 전부 알려드립니다!
s0Eq_VrFt_A	20260805	119754	1326	8.8	13653.5	66	"ETF 투자 10년차" 가 첫 투자로 다시 돌아간다면 절대 안 할 5가지
MNUUqEnQBOc	20260804	3887	1606	0.3	13653.5	68	반도체 10배 오른 거, 지금 사면 안 되는 이유.  대신 이렇게 투자하세요
vIJ49BrbFc8	20260804	169304	1371	13.0	12993.0	68	자본주의 사회에서 경제적 자유를 누리는 돈의 구조
TOr7yxkT80M	20260803	105758	1385	7.7	13653.5	70	개미들이 주식 열심히 해도 "100만원도 못버는 3가지 이유"
PV4C-FhvaXs	20260803	5399	1300	0.4	15275.0	70	절대 가난해지지 않는 법칙 10가지 돈 관리 원칙
eoWOvZVf63s	20260802	4505	1040	0.3	15275.0	72	배당금 vs 월세 | 3백만 원 월소득, 어느 쪽이 더 나을까?
ZsKmlmFZ-UU	20260801	32436	1449	2.1	15275.0	72	은퇴 가능한 자산 만드는 현실적인 방법
iR-sMvnMTrs	20260801	72678	1319	4.8	15275.0	72	연봉 1억도, 상속도 없이 부자 된 사람들의 소름 돋는 공통점
GXnVzB9SRR0	20260731	4669	1308	0.3	16428	73	다음 슈퍼사이클은 어디? AI 시대에 놓치면 안 되는 자산
cIFeGCXOjFs	20260731	40998	1344	2.9	14122	73	폭락장에서도 통합니다. 가장 편하게 부자되는 방법
_QIBHW7ZzMY	20260730	11492	1271	0.8	15275.0	74	ETF 추천! 올해 ISA에 꼭 담아야할 포트폴리오 구성법
rHaA22yDcEE	20260730	4983	1187	0.3	15275.0	74	"5년안에 은퇴 가능합니다" 나스닥 100 투자로 노후 대비 끝!
Ss7mHMbe5rE	20260729	280555	1565	19.9	14122	75	2026년 필수로 모아야 하는 가장 안전한 5가지 자산
nku0g7heZrU	20260729	3430	1303	0.2	16369	75	반도체 오른다 VS 끝났다. 앞으로 투자 방향은?
vOhv4Z-QCKY	20260728	26487	1258	2.1	12755.5	76	하락장에도 끝까지 살아남는 투자자들의 공통점
P0U4Juerhfo	20260728	4904	1490	0.4	13461.5	76	외국인의 비상 신호, 반도체 대량 매수 이유가 뭘까?
guGF_zDmI_g	20260727	78774	1627	5.4	14585.0	76	엔화 900선 붕괴. 다음은 원화입니다.
BKwz0JVZV30	20260727	5074	1418	0.3	16398.5	76	코스피 조정의 진짜 이유? 8월 유동성 장세 전망
a6Gw9fHUjSw	20260726	4171	903	0.2	17948	77	"환율이 높을때" 투자하기 좋은 미국 ETF
K_0fFxiJsEM	20260726	79741	1439	4.9	16428	77	경제 위기때 가장 먼저 무너지는 자산 5가지 "다음 급락에서 뭘 먼저 팔아야 하나?"
hB08zAphwdc	20260724	67672	1431	4.1	16398.5	76	"쉽지만 효과는 강력한" 경제공부 시작하는 법
osbYbCetYWE	20260724	51209	1355	3.1	16398.5	76	참 쉬운 주식 투자. 초보자라면 이런 주식만 골라사세요.
H30mkQq3Vmw	20260723	107351	1361	6.2	17188.0	76	1억 모으려 하지 마세요. 인생이 바뀌는 건 정확히 3천만원부터입니다
ozFbvuudbwU	20260722	65910	1357	3.8	17188.0	76	노후 자금 10억? 아닙니다. 은퇴 후 매달 300만원 통장에 꽂히게 만드는 가장 안전한 순서
kGklUsyamLE	20260722	12801	1325	0.6	22217.5	76	뱅크오브아메리카 "7~9월 조정 온다" | 위험 신호 3개가 동시에 켜졌습니다
mZBkixYgM_c	20260721	91344	1317	5.3	17188.0	76	11조 몰린 삼전닉스 레버리지 ETF…정부가 두려워한 건 개인 손실이 아니었다
T2NAq3jFDQM	20260720	213516	1352	8.1	26487	77	재테크의 기초 상식. 모르면 절대 부자 못 됩니다
HHUgQKLOADQ	20260720	1105	1376	0.0	27161	77	기름값 폭등의 진짜 범인… 전쟁이 아니라 14조 담합이었다
ZDz86CXcdlo	20260719	63006	1398	2.8	22217.5	78	경제가 박살날 수록 더 강력해지는 2가지 자산을 모으세요.
bKBjA6ikt7g	20260718	27161	1345	1.7	16428	77	S&P500, 나스닥100 수익률 차이는 갈 수록 더 벌어질겁니다. 미국 장기투자 가이드
