id	date	views	dur	mult	denom	n	title
Q-pAaL4aZ14	20260822	94	1643	0.0	5221.0	18	자동차주 폭등!!! 반도체 시대 저물었나  창피합니다. 최태원 회장님  2차전지 시대도 다가오는 중 반도체 다음 먹거리는' 대한민국을 먹여 살릴 '7대 SEED' 대공개!
RJThJ3XtFP0	20260821	770	1439	0.2	4887	19	우유 한 팩을 고르는 기준 가격부터 신선도·품질·유통까지
BRmPf8aVA2I	20260820	2202	1663	0.5	4866.0	20	경제 위기 때 가장 먼저 무너지는 중산층 자산 5가지 노후 준비 은행 예금도 안전하지 않다 위기 때 가장 먼저 먹히는 자산의 진실 영끌 아파트·신차 할부·개인연금의 함정...
IDk3rWghB5E	20260819	9534	1916	2.0	4845	21	5060 노후 준비, 1000만원으로 매월 배당금 받는 가장 현실적인 방법 ETF 3개 월 200만 원 평생 월급 만들기 배당금 월 300만원 받는 이유
ZesYBcR6sZk	20260818	3886	1594	0.8	4887	21	은퇴 후 5억 있으면 상위 몇 %일까 내 자산의 진짜 위치 경제가 박살날 수록 더 강력해지는 2가지 자산을 모으세요
1_yopFskBTc	20260817	6348	6736	1.4	4627	23	왜 사람들은 ISA 계좌에 열광할까? 노후 준비의 시작, 타겟데이트펀드! (통합본)
u6WjuOvpfJU	20260816	2465	1639	0.5	4866.0	24	" ISA 계좌, S&P500 하나로 3년 굴리면 얼마 벌까? (ft. 향후 계획 포함) " ISA 계좌, S&P500 하나로 3년 굴리면 얼마 벌까? (ft. 향후 계획 포함)
4UWaFihsxXI	20260814	2408	1737	0.5	4887	25	국민연금 빈칸 메우는 한국 ETF 3개 — 월 200만 원 평생 월급 만들기 노후
S67SyzEVE5E	20260814	5555	1757	1.1	4845	25	연금저축, 이렇게 해야 돈이 모입니다! ETF 투자의 핵심 (풀영상) ISA·IRP·연금저축, 처음이라면 꼭 보세요
J4cOWseZ_VI	20260812	5813	1607	1.2	4887	29	ISA 계좌, S&P500 하나로 3년 굴리면 얼마 벌까? (ft. 향후 계획 포함)S&P500으로 노후준비 🔥 30~50대 나이대별 투자금
9cKIfVAT49Y	20260811	4627	1560	0.9	4887	31	50세 매달 75만원 넣으면, 10년 뒤 통장에 찍히는 숫자 (연금저축·IRP) 만능통장' ISA 손질에 부글…이러면 미장 직투하지!
YkenefuSvns	20260810	11274	1794	2.3	4845	33	연금저축, 이렇게 해야 돈이 모입니다!  ETF 투자의 핵심 이번 달은  역대급 손실
or27cF_n1Fo	20260808	6708	1488	1.4	4845	35	삼성전자, 하이닉스 주가 급락 근본 원인 반도체 폭락의 공포, 이건 짚고 넘어가야겠습니다
OXphS4T74yM	20260806	6486	1278	1.3	4866.0	36	2026년 대한민국 자산별 8계급, 여러분은 몇 층에 계신가요 순자산 10억 있어도 서민이라고 대한민국 재산 평균은 이정도 있어야 됩니다 진짜 중산층 기준 다들 잘못 알고 있다
xOJ1NsnTe1w	20260805	10162	1775	2.1	4756.5	38	ETF TOP5 변동성 장세에 꾸준히 모으는 내 포트폴리오 공개 2026년 월배당 ETF 추천 TOP 5 총정리 (커버드콜 단점, ISA 비과세 혜택)
ypjeXXO6Z1k	20260804	3972	1491	0.8	4866.0	40	삼성·현대도 아니었다 워런 버핏이 대구 산골 공장을 두 번이나 찾아온 진짜 이유?
SEwrYqKoyiw	20260803	4845	1716	1.0	4777.5	42	99%가 모르는 향후 10년 자산 방어? 65세까지 3억만 모으세요, 앞으로 평생 돈 걱정 끝이다!
dvs4CrPH4aI	20260802	4887	6135	1.0	4668	43	경제 뉴스, 이렇게 봐야 한다 | 캐나다 vs 미국 주식 시장의 진짜 모습! (통합본)
h6x96XLTrCI	20260801	11229	1621	2.4	4756.5	44	미 주식 2700조 싹 다 뺀다…일본 연기금 손절 파장 훔친 증거 확보! 발칵 뒤집힌 미국!
SLDS4hfmmUY	20260731	3641	1551	0.7	4887	45	한화 철수 후 캐나다 태세전환 캐나다 극단적 선택에 한국 잠수함 수출 난리난 진짜 이유 독일 잠수함 보고 캐나다 내부 발칵, 오히려 초대박 난 한국 상황
AOkafZGfnBo	20260730	1430	1572	0.3	4866.0	46	저희가 부족했습니다 캐나다 잠수함 수주전 탈락 한화오션의 '홍보' 역발상 한화 철수 후 캐나다 태세전환 한국 잠수함 발칵 뒤집혔다 최대 실적' 한화오션, 태국·칠레로 캐나다 설욕
gUvBfzOl2yg	20260729	5392	1653	1.1	4845	47	주식 못해도 10억 시간없는 직장인이 ETF로 부자되는 법! 금융자산 10억 생기면 실제로 벌어지는 일 6가지 (세금·심리·현금흐름 전부 말씀드립니다)
Km9WCm7s8gA	20260727	2751	1410	0.5	5189	49	K9도 천무도 전부 빼버렸다 캐나다에서 시작된 한화오션의 복수 독일 납품능력 믿을 수 있나?
LLE6cdQqee4	20260727	2395	1348	0.5	5189	49	우린 빠진다 캐나다서 철수..한화 손절에 현지 '술렁' 한화 단호함에 '현실 자각'..'빈 자리 커' 캐나다 부글 뒤도 안 보고' 한화 빠진 뒤, 캐나다·독일서 무슨 일이
BH1BfVh7H0g	20260726	10253	1632	2.1	4866.0	48	삼성전자 SK하이닉스 주가 급등.. 믿어도 될까?급락 원인 드러났다 JP모건 “ETF 청산” JP모건 코스피 국내주식 레버리지 ETF 75% 청산… 한국 증시 2가지 대형 호재
6Gmk-vaZDSU	20260725	5465	1563	1.1	4866.0	48	쿠팡 화재' 일파만파…손실 수천억 전망 -6200억이 시작일 줄이야..화재 피해 더해보니 '충격 전망 배송은 보상은 ?
vgAG-Ri7-6M	20260723	38157	1395	7.8	4866.0	48	연령별 평균 순자산 진짜 충격적이네요. 진짜 이정도라고 (내 자산의 등수는) 2026년 대한민국 자산별 8계급, 여러분은 몇 층에 계신가요?
pAE4VFmZc6I	20260723	4609	1404	0.9	5038.0	48	평생 돈받고 살려면 이래야 한다 국민연금 65세 받지말고 빨리 '이 때' 받으셔야 합니다 67년생부터 해당됩니다 기초연금 개정 확정됐다.
ZRq9CI8-ZPA	20260722	8803	1406	1.8	4866.0	48	S&P500 vs 나스닥100｜수익률 차이가 더 크게 벌어질 수밖에 없는 이유? 세금+건보료 폭탄 맞습니다  해외 직투가 답인 이유
T9wzgKJK_Zs	20260722	5568	1128	1.1	4866.0	48	ISA 계좌, S&P500 하나로 3년 굴리면 얼마 벌까? 초등학생도 이해할 수 있는 ISA로 ETF 사는법 총정리 (3년 뒤 만기 전략은)
AUlTAmm4bqk	20260721	4458	1566	0.9	4887	47	S&P500 ETF 시작하는 법! 딱 이만큼만 사두세요!! ETF 사는법 & ISA계좌 개설, 주식 매수, 차트 보는 법까지 총정리 (+증권사 비교까지)
3_azHxGqv9A	20260721	3718	1532	0.8	4887	47	ISA 계좌, S&P500 하나로 3년 굴리면 얼마 벌까 S&P500 ETF, 종목보다 '계좌'가 20년 뒤를 바꾸는 진짜 이유 (연금·ISA)
p0FXLCBGfVs	20260720	5189	1860	1.1	4866.0	46	S&P500 무작정 모으다 절반은 날립니다! (수익 갉아먹는 최악의 함정 2가지)
WEYPjyfR8pY	20260720	4011	1307	0.8	5038.0	46	코스피 8.9% 폭락장, 삼성전자 SK하이닉스 주가 하락의 진짜 이유?
JDTWEsMUGyg	20260719	11182	6497	2.3	4845	45	돈이 없어도 경제를 배워야 하는 이유?
NEYAnJ6mEBM	20260718	2650	986	0.5	4887	45	삼성전자 LG전자가 유럽 에어컨 시장을 중국에 넘긴 진짜 이유? (데이터센터 냉각)
WDVQLv906VY	20260717	6563	1509	1.4	4756.5	44	카카오 주가 하락 이유? 와 삼성전자 SK하이닉스 레버리지 ETF 손실 구조!
xe9NfG7HC3o	20260715	4668	1872	1.0	4845	43	코스피 하루 만에 620조 추락.. 그 뒤에 숨겨진 코스피의 잔혹한 진실! 2008년 금융위기보다 싸다?
zLc5LHQS0a8	20260715	2793	1806	0.6	4845	43	한화오션 폭락이 보여주는 삼성전자 하락의 힌트, 시스템이 개미를 터는 잔혹한 공식!
oCivOSAZueE	20260714	2023	1300	0.4	4756.5	42	삼전닉스 '레버리지 ETF' 후폭풍···도박판 된 코스피! SK하이닉스 미국 상장, 호재일까 악재일까?
hehnZ-RCg_8	20260714	9359	1187	2.0	4638.5	42	제2의 애플카 사태? 현대차 78만 원을 만든 '로봇 권리금'의 섬뜩한 평행이론!
RH0iRrriFQ4	20260713	1388	1633	0.3	4845	41	[한성기업 주가] 상장폐지 위기 덮친 착한 기업, '돈쭐 매수' 전 반드시 확인해야 할 3가지!
uvK_L_lfsP4	20260713	11622	1498	2.5	4668	41	삼성전자 역대급 실적에도 주가 폭락한 진짜 이유? (코스피 반대매매, 피크아웃)
Mzt9ZKbBX5U	20260712	3161	3647	0.7	4777.5	40	AI 반도체 투자 지금 진입하기에는 너무 늦었나?
GNZcI1FgXCQ	20260711	15204	10700	3.3	4609	39	기록적 이익에도 주가는 떨어진다? | 지금 벌어지는 일!
6MIHhReVU40	20260710	9708	1637	2.1	4553.5	38	삼성전자 역대급 실적에도 코스피 폭락하고 서킷브레이커 걸린 진짜 이유?
skoJd9AYg5U	20260710	4498	1693	1.0	4638.5	38	월스트리트저널이 한국 증시를 '오징어게임'이라 경고한 소름 돋는 이유!
5ukvuQVY5Qk	20260709	2979	1677	0.6	4668	37	삼성전자 89조 실적에도 주가 폭락한 진짜 이유! (반도체 주식 다 팔아야 할까?)
wd69fsxAFxc	20260709	3056	1469	0.7	4668	37	삼성전자를 줍는 이유와 100조를 벌고도 주가가 폭락한 진짜 이유? (지금 팔면 평생 후회하는 3가지 신호)
0o_fCeBNhuQ	20260708	7431	1614	1.6	4638.5	36	실적발표 이후 삼성전자 이렇게 움직인다 삼성전자 또 일 냈다? 2분기 실적 난리 난 현재 상황!
LEfHk6bBpjc	20260708	2580	1397	0.5	4928.5	36	삼성전자 이거 발표되면.... 전세계 1등 된다! 삼성전자 실적발표 관전 포인트!
_3GfNBk8moc	20260707	2611	1371	0.6	4668	35	삼전닉스 '지금부터 봐야 할 결정적 신호 3가지? '인생 역전인 줄.. 212조 태운 '개미들의 도박' 롤러코스피 속 '비명'!
3ON_VxLH5Ww	20260707	8436	1587	1.8	4609	35	삼성전자 100년에? 한 번 나오는 폭등 온다 SK하이닉스보다 삼성전자 사야하는 이유 삼성전자 SK하이닉스 꽉 잡으세요 조만간 순식간에 다시 오릅니다.
Vc1oqQyxvzk	20260706	12587	1478	2.7	4609	35	삼성전자 SK하이닉스 주가 폭락에 속지마세요. 한 주라도 있다면 '이렇게' 하세요! 월가에 먼저 싹다 퍼진 '이 소문' 다음주 삼성전자 싹 다 뒤집힌다 ?
-E4DDfsEz-Y	20260706	15750	1326	3.4	4609	35	삼전 닉스 지금 안 팔고 버티면 결국 '이렇게' 될 겁니다 30만원 깨진 삼성전자...진짜 하락장이 온 걸까?
0sGMvmqgYFA	20260704	3846	1452	0.8	4928.5	32	주식 망하는 사람들이 절대 인정 안 하는 '이것' 나스닥100 ETF 완전히 바뀝니다 적립식 투자하고 있다면 꼭 알아야 할 룰 변경 총정리 (스페이스X·오픈AI·앤트로픽)
D7CcGCJ7lvQ	20260703	6975	1650	1.5	4609	31	돈 들고 대이동' ETF 400조 시대‥시장 선순환 이끈다 노후를 위해 월배당 ETF에 몰빵했다면 지금 당장 '이것' 점검하세요!
gCW7nKeOsHE	20260703	486	232	0.1	4668	31	"내가 사면 떨어지고, 팔면 오르는 악순환을 끊고 싶다면?" (영푸사랑 무료 특별 강연회)
