id	date	views	dur	mult	denom	n	title
Fj8kM6zg55g	20260819	326829	885	1.7	191952	3	트럼프의 한미 연합훈련 축소 요청! 그 이유는 정말 김정은 때문일까?
gMNvvResqu0	20260815	191952	850	0.8	230298.5	4	민주당은 지금 분열중! 중간선거에 적신호가 켜질까?
JRTjw5L88g8	20260807	285812	838	1.5	191952	5	미국인 10명 중 7명이 AI 데이터센터를 반대한다?
P1EHlkhRB38	20260801	125100	875	0.5	238882.0	6	젊은이들은 바퀴벌레? 인도를 뒤집은 바퀴벌레 운동 | 인도, mz시위
s1SYmhOV4HA	20260725	174785	916	0.9	187069.5	6	10년 사이 7번째 총리...이번에는 다를까? | 영국, 총리, 앤디 버넘
LztGZYhcvdE	20260719	396158	1107	2.2	178486.0	6	쿠팡 때문에 워싱턴 D.C.가 화났다?
HHAlJwnvhJ8	20260715	182187	901	0.6	285471.5	6	NATO 정상회의...승자는 우크라이나?
ak-Nl_LHrWg	20260707	54946	1319	0.2	289172.5	6	전쟁을 기억하는 또 다른 방법 | 프로젝트 솔져, 참전용사
e2VJspRiIrg	20260630	546122	1174	3.5	155524.0	6	우리가 잘 몰랐던 마릴린 먼로의 진짜 모습
tt2-zd8696I	20260625	407494	944	3.2	128861	5	[책 같이 읽어요] 미국의 눈으로 바라본 한국전쟁 | 콜디스트 윈터
HKbv3k0Jq1w	20260618	51645	1531	0.2	268177.5	4	다자주의의 시대는 이제 끝난걸까 | UNDP, 국제원조, 유엔개발계획
JBGd5NzC2yg	20260609	128861	892	0.3	378763.0	4	[책 같이 읽어요] 위대한 고전? '모비 딕'은 오늘날에도 의미 있는가
znJGZwjpLIg	20260522	350032	787	1.5	228252.5	4	CIA와 쿠바의 비밀 회동, 미국의 다음 목표는 쿠바인걸까
yd4j8himXBA	20260515	227933	841	0.8	289302.0	4	알게 모르게 '열일'하고 있는 미국 재무부 이야기
ofOvsmWDAnI	20260509	228572	907	1.0	227933	5	자신감이 만든 위트? 위기에서 태어나 유머로 완성된 MINI 이야기! | MINI, 자동차
6l5Id1WK-n0	20260501	523550	911	2.3	228572	7	UAE의 OPEC탈퇴, 전쟁 중인 지금 또 왜..?
gH1fp3m_tDQ	20260426	83221	1562	0.3	264601.5	6	무역이 무기가 된 세상? 국제관계 석학 빅터 차 교수의 경고! | 국제관계, 무역, 빅터차
W6Xck5tYrEg	20260421	80379	519	0.3	264601.5	6	[일본 출장 후기(?)] 일본이 생각하는 동북아 안보와 한일관계는? | 한일관계, 동북아정세, 일본
CXUPKNLZCZw	20260413	488907	934	4.1	120437.5	6	또 다시 언급된 나토 탈퇴! 전후 미국의 동맹 재편은 어떻게 될까 | 미국, 트럼프, 나토
