id	date	views	dur	mult	denom	n	title
jEoO6v26_E0	20260823	4413	1391	7.5	585	7	"아시아의 호랑이였는데" 남의 돈으로만 40년 버틴 태국이 끝내 주저앉은 이유
eh_yKhotyrs	20260814	507	1046	0.1	4413	3	TSMC의 대만이 39년 만에 최고로 잘나가는데 국민 7할이 가난해진 이유
UrezMUYC5y4	20260808	65402	1409	171.9	380.5	4	"아무나 골라 죽인다" 중국에서 8일 사이 3번이 터진 진짜 이유
15hB_5z49nU	20260724	170	1189	0.2	855	9	"국산도 못 피합니다" 9년 만에 드러난 중국산 카드뮴 쌀이 내 밥까지 오는 경로
a-V1s9d2pAw	20260722	254	1138	0.1	1772	9	"싸다고 샀다가 한 달 만에 후회했어요" 유럽 홀린 중국산 에어컨이 애물단지 된 진짜 이유
Nwwv10WL0SE	20260717	585	1739	0.7	855	9	1인당 67달러였던 나라가 세계에서 유일하게 선진국이 된 과정, 대한민국의 70년
fVyTx57ZhYc	20260716	855	1207	1.5	585	9	요즘 천연 다이아 왜 X값이냐고요? 중국이 공장서 찍어내기 시작했습니다
I9Wc7Ohl9ww	20260713	4160	1389	7.1	585	11	"주말마다 갔던 그 마트가…" 7조 홈플러스는 어쩌다 청산 위기까지 몰렸나
YPfYsSDyYoY	20260708	4554	1382	6.3	720.0	12	보급률 20% 유럽 에어컨, 세계적 가전 강국 삼성·LG는 왜 중국에 다 뺏겼나
Hj29nMb3H-8	20260705	1772	1410	3.0	585	13	"한 달 벌이 17만 원" 중국 6억 명이 무너지는 진짜 순서
GtUrGy8n1qg	20260703	245	1297	0.3	720.0	14	관세 7조 얻어맞고도… 미국에서 벤츠 제쳐버린 현대차, 대체 무슨 일이
o9wqKcVOwPI	20260701	230760	1390	437.5	527.5	14	"저축은 의미 없어집니다" 머스크의 미래 예측이 하나씩 현실이 되는 진짜 이유
CvnGF_HCz1I	20260627	395	1266	0.5	855	15	"외삼촌이 조카를 감옥에 보냈다" 한가족이던 삼성과 JTBC가 206억에 무너진 60년 막장 가족사
51vck68-0-Y	20260624	1183	1528	2.4	497.0	14	"아들아, 이 나라를 떠나라" 한국의 5배 부자였던 이탈리아가 몰락한 진짜 이유
NTjcFE5HC6A	20260622	470	1343	0.6	853.5	14	"중국이 중국 때문에 망한다고요?" 90% 독점하던 태양광 제국을 한국이 잉크 한 방울로 뒤집은 이유
DepXkybPu1c	20260619	96416	1509	199.6	483.0	14	"100조가 그대로 고철이 됐습니다" 세계 1위 중국 조선업이 75% 파산 직전까지 간 진짜 이유
sYAWv8qJZbA	20260615	264	1179	0.5	496	13	"냉장고에 자물쇠를 달았습니다" LG는 어떻게 그 까다로운 인도 14억을 점령했나
DSblMGWn1NA	20260612	78	1205	0.2	470	13	세계 1위 엔비디아 젠슨 황이 한국에 두고 간 4개, 진짜 수혜는 전부 한국이었다
_VyaFGwo-5k	20260611	296	1087	0.6	483.0	12	외국은 이미 돈 싸들고 왔는데, 산유국도 줄 선 정읍 기술을 정작 우리만 몰랐습니다
obKZ96CBtI4	20260609	1629	1063	4.1	395	11	"이제 빈소 안 차립니다" 무빈소 급증에 장례식장 줄폐업하는 소름 돋는 진짜 이유
Jh_dkdk6f7s	20260606	136	1273	0.3	470	11	사형까지 시켰는데 왜 또 터질까, 중국 식품 사고가 절대 끝나지 않는 진짜 이유
9GUOOO8cvho	20260604	524	1275	1.4	383.0	10	몽골 희토류, 중국 다음가는 자원 부국이 단 한 톨도 마음대로 못 파는 소름 돋는 이유
Jp8XaRk5rOE	20260529	496	1390	1.8	280.0	8	핵보유국 4개에 둘러싸였는데 한국이 살아남은 진짜 이유
KPTm3CieA4s	20260522	157	1106	0.4	396.0	6	"방 두 칸에 6명이 산다고요?" 청약 위장전입 41건, 20억 로또의 진짜 정체
VLowcwH5yMk	20260402	2107262	1176	None	None	0	"이란 1500만 대피" 3,000년 물의 나라가 스스로 무너진 소름돋는 과정 | 물 마피아의 실체
