id	date	views	dur	mult	denom	n	title
x7TtcVQSKYE	20260824	4826	1352	0.0	98463.5	4	"보자마자 청혼 했어요" 24살 베트남아내가 45살 한국남편 보고 첫눈에 반한 이유
QA6nEaXiRXE	20260823	82622	1073	1.0	86790.5	4	"탱크가 저렇게 많아요..?" 탈북한 탱크부대 군인이 최전방 한국군 보고 충격받은 이유 [탈북장교 권효진1부]
Iu8QXs4qT5M	20260818	114305	1095	1.9	59276	5	"기름이 얼마나 많으면.." 한국 길거리 걷던 러시아 탈북노동자가 충격받은 이유 [탈북민 최지철3부]
nKzTMrrlGNE	20260816	156737	1105	2.6	59276	5	"정말 다 벗어요..?" 3자매 탈북녀들이 한국 국정원 도착 후 기절한 이유
WuVPx0pBZeI	20260807	59276	1179	0.7	82622	5	한국 처음 도착한 탈북민들의 세뇌가 깨진 결정적인 순간 "한국은 안뺏어갑네까..?"
tOS-5mCy6rY	20260730	21061	935	0.2	135521.0	4	"맨 처음 이것부터 배웠어요" 탈북민이 한국 국정원에서 충격받은 이유 [탈북민 김영철 1부]
dyI3LwlNjhc	20260710	203740	1171	12.4	16437.0	6	"하루만에 이런 돈을.." 탈북한 해외 노동자가 한국 월급수준에 충격받은 이유 [탈북민 최지철2부]
BhGhjxg6VFo	20260705	11813	1392	0.0	251731.5	6	최근 탈북한 새내기들이 알려주는 북한의 충격적인 연애방식과 결혼 [탈북민 춘혁x규리 2부]
WYWmpPC745Y	20260702	299723	1207	2.8	107776.5	6	해외 탈북노동자들 세뇌를 한 순간에 풀어버린 한국 국정원의 놀라운 한 마디 "소름이 쫙 돋았어요" [해외 탈북민 최지철 1부]
_KyJXiWqYOg	20260628	377620	1187	6.3	59969	7	"직접 보고왔습니다" 아이폰들고 입북한 탈북민이 최근 북한에서 목격한 충격적인 장면 [탈북민 김강우 2부]
4krLWQnoOzE	20260627	7110	991	0.0	203740	7	"한국 축구는 이렇구나.." 최근 탈북한 새내기들이 한국 월드컵 처음보고 충격받은 이유 [탈북민 춘혁x규리 1부]
ri9OuBI1oZY	20260626	9327	1099	0.0	203740	7	21살 어린 베트남아내가 한국남편과 결혼한 이유 "한국 남자들은 달라요" [베트남 국제결혼 부부 1부]
Obg3MCs2W-A	20260617	760355	1148	21.2	35891.0	6	"직접 찍어왔어요" 아이폰 들고 입북한 탈북민이 최초로 공개하는 22일간의 충격적인 북한생활
EPus-TslqIE	20260607	59969	6161	0.3	178233.0	8	20살 연하 베트남 아내들이 한국남편 보고 반한 이유 [베트남 국제결혼 커플들 몰아보기]
h8uJUnWygYc	20260524	453149	998	2.5	178233.0	6	"한국 사람들 대단합네다.." 한국이 잘살게 된 이유를 깨달은 17년차 탈북민 [탈북민 권효진 2부]
3OyFnNWWHXU	20260523	173838	1408	0.8	231714.5	6	"음식뿐만이 아닙네다.." 한국 국정원 식당 처음 온 탈북녀가 놀라자빠진 이유 [탈북민 김유미 2부]
WairGqKBG7c	20260521	46422	1416	0.2	231714.5	6	탈북민이 한국농촌 보자마자 충격받은 이유 "한국은 안뺏어가요..?"  [탈북민 권효진 1부]
RrBhVCzwF9E	20260517	182628	1075	1.1	173838	7	"한국은 가능합네까..?" 탈북군인들이 인천공항에서 충격받은 이유
