id	date	views	dur	mult	denom	n	title
P5VDpuddPiA	20260822	2959	1353	0.8	3872	29	"전원 켜는 순간 중국 서버에 접속합니다" 실측으로 확인된 백도어
8IobMQ6bgmU	20260821	1621	1449	0.4	3872	29	본토에선 이익 반토막난 중국 카페 브랜드가 한국을 고른 이유
KHqsWCwOhmY	20260820	966	1440	0.2	3872	29	"나랏돈 1150억 '중국산'에 퍼줬다" 중국산 테슬라 통과시킨 한국 보조금의 구멍
HUD6HKYFxvI	20260819	58166	1459	18.3	3175	29	베이징이 유령도시가 된 진짜 이유
QzFrijl5yas	20260818	59705	1393	18.8	3175	29	"상하이가 점점 비어가고 있다" 중국 상하이의 몰락
q2KPvbVUdxA	20260817	73973	1376	23.3	3175	29	미국과 경제대국을 이루던 유럽이 한순간에 몰락한 이유
RV2cLuk456c	20260817	2137	1398	0.6	3872	29	'엔저 막아라 미일 환율공조' 엔화가 똥값된 진짜 이유
NZH8BZZuMqE	20260816	1970	1377	0.5	3872	29	"첫 2척은 한국서 만드세요" 잭팟 터진 K-조선 근황
MvO_MpCKsXo	20260816	9887	1363	3.1	3175	29	"정의선 회장실도 쳐들어갈 기세" 임원실 박살 낸 '현대차 노조'의 최후
mRcB2db0BF4	20260815	3055	1376	0.8	3872	29	"청년들 총알받이로 쓴 김정은" 북한 '경제 부활'의 실체
ww9aDe-fJG4	20260815	969	1360	0.3	3872	29	트럼프 "호르무즈 미국 영토로 발표할 것" 목줄 잡힌 이란과 중국의 최후
CmE9Mxyl_T8	20260815	880	1366	0.2	3872	29	"여기 앉으려면 돈 내세요" 나라 땅에서 자릿세 걷어 한 철 수천만 원 버는 사람들
ouVJnf8R4Zs	20260814	4465	1328	1.4	3175	29	"국밥한테 항복했습니다" 4,300원 세트까지 내놓은 미국 햄버거 제국의 속사정
eg35XGunWcg	20260814	6370	1366	2.0	3175	29	"하룻밤에 15만 원 내세요" 바가지가 무너뜨린 10조 캠핑 시장의 최후
9C4VUlW1Lc4	20260813	1644	1353	0.4	3872	29	해외에서 난리난 한국 급식 실제 수준
_MLh-O3uTXg	20260813	561	4251	0.1	3872	29	[이재용 회장 통합본] 이재용 회장이 20년 지기 청소 미화원 빈소를 홀로 찾은 이유
LzC66s0W6ns	20260812	46557	1418	14.7	3175	29	"중국 실제 인구는 8억?" 증발한 중국 인구의 실체
zCA621_hpE8	20260811	58509	1316	18.4	3175	29	세계 명품 스포츠 브랜드를 사들인 중국의 공식
4xT4PSIjdZM	20260810	11133	1388	3.5	3175	29	"반값에도 안팔려요" 짐이 되어버린 중산층 5대 취미의 비참한 결말
yaPRm39q-jA	20260809	10040	1329	3.2	3175	29	"애플이 줄을 섰습니다" 15년 갑질의 청구서가 도착한 날
sxmUY6JnlEY	20260808	52850	1337	16.6	3175	29	애플의 중국 사업이 무너지고 있는 이유
4Z7aLKAZgNU	20260807	39676	1364	12.5	3175	29	"소주도.. 맥주도 안 팔려요" 술집의 몰락
5NTzUdMRorA	20260805	3872	1208	1.2	3175	29	"응원은 하는데 안 사먹게 되더라" 줄폐업 위기중인 이삭토스트 근황
s30K71blbWA	20260805	4905	1220	1.5	3175	29	동대문에서 기분 상해본 기억, 다들 한 번쯤 있으실 겁니다
L7ZZigAxTD4	20260804	950	1247	0.2	3872	29	와인의 나라 프랑스가 돈을 주면서까지 포도밭을 갈아엎는 이유
sekV-ekHRaY	20260803	3175	1235	0.8	3872	29	코스피 -22% 폭락 한 달, 사라진 돈이 도착한 곳은 따로 있었다 — 개미 몰락의 진짜 구조
0eDvfc42M5k	20260803	2280	1279	0.6	3872	29	"비용은 사라지지 않습니다" 자본주의 심장 뉴욕의 30% 할인 마트, 그 돈을 추적했습니다
rFWQrt0IDvs	20260802	2016	1248	0.5	3872	29	"중국에 팔릴 뻔했습니다"…창원에서 기계 깎던 회사가 132년 독일 명가를 사버린 진짜 이유
_bnWPMP9luM	20260802	4111	1354	1.3	3175	29	"적자 56%인데 못 닫았다" 5년을 버티던 하나로마트가 결국 문을 닫기 시작한 이유
8-ImmpzBMsg	20260801	1016	1300	0.3	3872	29	"1년 끊으면 반값이에요" 헬스장 12개월권이 할인이 아니라 대출인 진짜 이유
