id	date	views	dur	mult	denom	n	title
FogaiQkjbkQ	20260605	98563	1920	1.6	63513.5	32	중국이 300조를 쏟아붓고도 한국 반도체를 못 이기는 이유
5FPdKxXMLe4	20260603	137184	1973	2.6	52137.0	34	시진핑이 망쳐버린 중국 경제, 돈으로도 못 산 한국의 마지막 기술
0ztgd_uKJ1k	20260601	26878	2079	0.4	63513.5	36	1981년 한국보다 2.8배 부자였던 그리스, 17년째 못 일어나는 진짜 이유
nzCj5dE0pgs	20260531	301251	1876	6.4	46805	37	삼성 귀족 노조의 몰락, 파업 이후 평택 공장에서 벌어진 일
JESN7p5j4f0	20260529	231692	1950	5.3	43757.5	38	중국 인구 14억은 착각이었다? 증발한 중국 인구의 실체
C-F7Cfq_Owg	20260528	304935	2012	7.5	40710	39	“76조 어음 폭탄 터졌다” 중국 전기차 1위 BYD, 제2의 헝다 위기 시작
Z6ZkSmetq-k	20260528	57469	2099	1.4	40710	39	"미국도 막기 어려워졌다" 한국 방산이 50년 패권을 준비하는 이유
IX3Fzdx6G9Y	20260527	69558	2208	1.7	40710	39	500km 타격 천검 미사일, UAE 추가 계약 움직이자 세계가 긴장했다
YSILQolpvdI	20260527	75832	2134	1.9	40710	39	미국 전기차 보조금 폐지 후 살아난 건 테슬라가 아니었다… EREV와 K-배터리
-_w3GzfODCU	20260526	116116	2006	2.9	40710	39	삼성과 테슬라의 새 협력, 스마트폰 다음 시대가 시작됐다
2jqdOBWjNow	20260526	1134	2063	0.0	46805	39	“총파업 안 갑니다” 삼성전자 MZ 세대의 집단 이탈, 노조가 흔들리기 시작했다
9LZ6F8tQ4n4	20260525	116073	2133	2.9	40710	39	인구 340만 몽골이 중국에 등을 돌렸다… 자원대국이 미국·한국 잡은 이유
VG4BbXoqVuo	20260525	89134	2119	2.2	40710	39	중국은 왜 위구르 제재로 흔들리고 있나 | 세계의 공장이 무너지기 시작했다
TEpHurbWBw8	20260524	134178	2020	3.3	40710	39	27년 전 빼앗긴 LG반도체 미국·일본 흔드는 카드로 돌아왔다
