id	date	views	dur	mult	denom	n	title
sPUWgpm7iqI	20260822	944	1804	0.2	5956	17	불과 몇 달 만에 중국과 이란이 순순히 움직인 이유｜트럼프 ‘예측 불가능 전략’의 정체
FLhXiCQVzjQ	20260820	2102	1491	0.4	5956	17	중국은 부탁하고 일본은 후회하고 미국은 다급해졌다…한국 대역전의 정체|세계가 중국을 떠나자 벌어진 일…반도체·배터리에서 한국이 ‘대체 불가’가 됐다
DWm6QSTd4Ek	20260819	5293	1747	0.8	6840.0	18	왜 동남아는 중국에서 한국으로 움직였나…삼성·한류·현지화가 만들어낸 대역전극|중국이 스스로 무너뜨린 동남아 아성…품질·남중국해·코로나·미중 갈등 ‘4가지 오판’
ao3Kdveaf70	20260818	3085	1930	0.3	10885.5	20	세계 2위인데 왜? ‘6억 명이 월수입 1,000위안’ 중국 경제에 숨겨진 거대한 시한폭탄|중국이 한국을 비웃던 그때 이미 붕괴는 시작됐다…부동산·디플레이션·청년 실업의 연쇄
1ujLwNZ7PSc	20260817	14047	1522	2.1	6840.0	20	미국은 중국을 빼고 한국을 선택했다…세계 공급망 재편에서 벌어지는 거대한 변화|중국이 한국을 두려워하기 시작한 진짜 이유｜반도체·배터리·조선·방산에서 벌어진 대역전
GjLZlXcOiEY	20260815	89872	1808	11.6	7724	21	중국에게 청구된 지옥의 일대일로 청구서| 빚더미에 쌓여  ‘일대일로’가 거대한 빚의 미로로 변했다
M8RJj4ONgXo	20260814	4492	1725	0.3	13350	21	중국반도체 허황된 꿈 | 한국이 쥔 중국의 목숨줄
HNbHqXu9wDc	20260813	4095	1828	0.3	13350	21	미국의 포위망이 드디어 완성됐다 | 총도 미사일도 없이 중국을 몰아붙이는 미국｜세계 최강 경제 포위망의 무서운 구조
LqG842vJ1dY	20260811	5956	1321	0.4	13350	21	중국과 인도 실시간 충돌|인도에서 반중 감정이 폭발한 진짜 이유|세계의 공장이 중국에서 인도로 이동 중|중국 일대일로 실시간 붕괴
YbDIS0gfw9A	20260810	15296	1558	2.0	7724	21	중국의 현대판 식민지 전략 | 눈치챌 수 없는 미끼로 한 나라를 통제하는 방법 | 한국도 안심할 수 없는 소름돋는 이유
Cb3rOF7pTu0	20260809	2339	1564	0.2	13350	21	중국이 결코 꺾을 수 없는 한국의 해양 패권 | 중국이 1,000조원 쏟아붇고도 조선업에 위기가 닥친 이유
Yb7KX1F6wLw	20260808	1938	1648	0.1	13350	21	중국인이 한국 인청, 제주 토지를 쓸어가는 이상현상 | 도대체 한국땅에서 지금 무슨 일이 벌어지고 있는가?
y5bzNOWkx3E	20260807	2276	1365	0.2	13350	21	중국 기업은 한국을 연구하고 중국,일본 청년은 한국으로｜동아시아에서 시작된 거대한 역전 | 한국이 전세계에서 사랑받는 이유
EfAQNxq9ceM	20260805	160189	1431	20.7	7724	21	중국에 급증하는 이상 현상 | 중국 전역에 인도인이 급증해 사회적 문제가 속출한 이유 | 중국의 일대일로가 불러온 충격적인 부메랑과 경제 위기
sunHWuuae_o	20260804	7724	1582	0.6	13350	21	중국이 떨고 있는 소름돋는 결과 | 중국을 겨냥한 미국의 거대한 함정의 진실
XaeQeXCdfkg	20260804	81471	2018	10.5	7724	21	중국이 가장 두려워한 결과 | 중국 의존에서 탈출한 한국, 세계가 놀란 대역전의 진실 | 중국 없이는 불가능하다던 한국 5년만에 반전
9PKZIy3WiZg	20260803	32630	1722	4.2	7724	21	중국은 내부에서 완전히 썩어가고  2030년 한국이 패권을 잡는다 | 한국이 아시아의 진정한 주인 | 아시아의 정해진 미래 전략 보고서
TquzvWm5tcA	20260801	42202	1586	5.5	7724	21	일대일로 지옥시작 | 중국이 금융허브 홍콩에서 모든 자금이 끊기는 이유
RsHOjull778	20260729	28247	1937	2.1	13350	19	중국 일대일로에 닥친 재앙 | 중국에 뜯어먹힌 이란의 통쾌한역습｜중국이 이란에서 도망치는 소름돋는 이유
a4g6b5slxvQ	20260728	16092	1221	1.2	13698.5	18	중국인이 이스라엘에 폭탄이 빗발쳐도 숨어있는 이유 | 이스라엘 건설 붕괴와 중국 실업 지옥의 진실
_rgoLkmMrFI	20260728	221620	2359	16.2	13698.5	18	중국 청년들이 완전히 포기한 중국 현재 최악의 상황 | 14억 경제를 덮친 다섯 개의 시한폭탄｜디플레·부동산 붕괴·인구 절벽의 충격
gB89V5W__jM	20260726	13350	1980	0.9	15694.0	16	미국의 이란 제재에 숨겨진 소름돋는 중국 포위망 | 이란 제재의 진짜 표적은 중국이었다
