id	date	views	dur	mult	denom	n	title
wtkJ7zxXkX4	20260821	4112	1030	1.2	3437	21	도요타 빼고 다 망하고 있다는 일본 자동차 기업
hWitjYgovno	20260820	137	1006	0.0	5900.0	22	삼성이 5년·1조 6천억 들인 D램 기술을 통째로 빼돌렸다 — 중국 창신메모리의 진짜 정체
fgZFlfiawro	20260819	2229	1038	0.3	7688	23	20년 만에 기업 17,000개 파산… '중국을 택한' 독일이 무너진 진짜 이유
C0_C-sfbu6A	20260818	13188	907	3.2	4112	23	하룻밤에 24만 명이 사라졌다 ― 중국이 30년간 숨긴 최악의 댐 참사
xiji0Eiz-IE	20260817	3437	955	0.6	5900.0	24	15년 갑질하던 애플, 이제 중국에도 퇴짜맞는 신세가 된 이유
nqS1WnJH0Gk	20260816	99243	1059	26.3	3774.5	26	배를 만들수록 돈이 빠져나갔다… 세계 1위 중국 조선업이 맞은 최악의 한 해
cy8TphRoijI	20260815	9303	1059	2.5	3774.5	26	재계 5위 롯데는 왜 무너졌나… 롯데타워까지 담보로 내놓은 진짜 이유
GD5TnksiFuU	20260814	76580	1035	22.3	3437	27	대리점은 야반도주, 하청은 곡소리… 세계 1위 BYD에 무슨 일이 벌어지고 있나
-zKb6x8ngH8	20260813	1945	937	0.5	3774.5	28	폐업 100만 시대, 지금 우리 동네에서 조용히 사라지는 업종 8가지의 공통점
dhmtPEgxJFY	20260811	180	1050	0.0	3774.5	30	수십 년 만에 처음, 국산차 1위 자리를 빼앗은 수입 전기차의 정체
0GGDU-jHP_k	20260810	827	1043	0.2	4112	31	연봉 1억이 넘쳐도 소멸한다? 가장 부유했던 도시들이 무너진 네 가지 이유
A6wQ50ZFNYU	20260809	22112	959	5.9	3774.5	32	세계 2위 산유국 러시아에 기름이 없다… 전황 뒤집은 우크라이나
1fQz-tRDxx0	20260807	7688	903	1.9	4112	35	"더는 못 살겠다"…독일·영국·미국 국민들이 나라를 떠나기 시작한 진짜 이유
4AFmBoe6rlk	20260806	16740	947	4.2	3961.5	36	미국이 28년 만에 처음으로 '엔화'를 사들이기 시작한 진짜 이유
M2gej-iVz88	20260805	369	1025	0.1	3961.5	38	세계은행마저 "고철덩어리만 남는다"던 나라, 어떻게 세계 철강강국이 됐나 | 포항제철 실화
olDUE7Er7kw	20260804	3357	873	0.9	3811	39	아시아만 따로 상 만든 그래미, BTS 한마디에 CEO가 직접 해명한 사연
Fa20MZzBSQs	20260804	54754	1019	15.9	3437	39	소득 증빙도 대출도 없이 강남을 사던 그들이 손절 매물을 쏟아내는 이유
T9XNzddkRhg	20260803	24362	1030	7.1	3437	39	"세계 경제학자들도 놀랐다" 아무것도 없던 대한민국이 기적처럼 살아남은 진짜 이유
bdbiBj_JUYY	20260802	61071	1024	17.8	3437	39	세계 6위 선진국의 민낯, 지금 영국에 벌어지는 일
9bRthmXdQZw	20260802	3272	989	0.9	3811	39	일본이 택한 마지막 승부수, 그리고 미·중 사이 한국이 서둘러야 할 것
4Y_j2s2qLjg	20260801	2377	994	0.6	3811	39	한때 '나라 수출의 절반'을 책임졌던 회사, 워런 버핏이 통째로 사들인 진짜 이유
RcihneVbblY	20260731	818	1014	0.2	3811	39	한국은 왜 캐나다 잠수함에서 탈락했나… 그런데 독일이 오히려 긴장하는 이유
w-lrNaIKmz8	20260730	43702	1020	12.9	3397.0	38	100조 원을 쏟아붓고도 못 막았다… 엔화는 왜 무너졌나
e3_uf8CGCxY	20260729	8057	948	2.3	3437	37	인도네시아.. 아니 잘 나갔잖아.. 갑자기 왜 그러는거야?
1XLXMPTit78	20260727	154	1032	0.0	3811	35	LG가 자동차를 ‘바퀴 달린 스마트폰’으로 만들었다… 세계가 주목한 위성통신 기술
yMl31sQiXek	20260726	13930	1044	3.9	3584.0	34	"살아남는 나라는 딱 다섯"… 구글 前 회장이 급히 지운 그 강연에 대한민국이 있었습니다
jbueeFVvht4	20260726	2262	1021	0.5	4685.5	34	"알루미늄도 무릎 꿇었다"… 세계 자동차를 바꾼 한국 철, 20년 싸움의 대반전
7gbEQzvVxN0	20260724	257	983	0.1	3584.0	32	"인류를 구할 끝판왕 기술.." 1억도 플라즈마를 48초 붙잡은 한국의 인공태양
eqh_giEZN8U	20260723	232	999	0.1	3357	31	북한이 76년 만에 '통일'을 지웠습니다… 김정은이 스스로 뿌리를 뽑은 진짜 이유
RWvVyrOc-L4	20260722	5560	1016	1.7	3314.5	30	전 세계가 재앙을 예고했는데 왜 아무 일도 없었을까, 그 뒤엔 중국이 있었다
6g7SisfNE4o	20260721	340	877	0.1	3584.0	30	젠슨 황이 콕 집은 나라 대한민국… 삼성·SK·현대가 뭉친 K-로보틱스 어벤져스의 정체
pi3Z73zOx0Q	20260720	32250	1083	9.6	3357	29	30년 가까이 반도체의 왕으로 군림하던 인텔의 몰락, 대체 무슨 일이 있었던 걸까?
