id	date	views	dur	mult	denom	n	title
ujMyCzf5cYg	20250827	612683	1795	1.7	370963	3	"이날 중국은 죽었다" 천안문 사태, 탱크맨 [중국 현대사 3]
pqYCzpCpIfM	20250816	311468	1475	0.8	406478	3	중국 정부가 금지시킨 비운의 걸작…한 가족의 '인생'으로 본 중국의 지옥 (feat. 대약진운동, 문화대혁명) [중국 현대사 4]
pxt9kv150Vo	20250730	370963	1894	0.9	391651	5	중국을 조져버린 "문화대혁명"   [중국 현대사 2]  |  (feat. 삼체)
-XBK09sjLF8	20250721	406478	2913	1.1	370963	5	중국에 내린 대재앙 "대약진운동"  [중국 현대사1]
bYBQR5HxyBA	20250621	391651	7164	1.0	388720.5	4	자기 전 보면 좋을 "싱글벙글 북한" 몰아보기 [FULL Version]
qlJXviHp7jk	20250619	141515	560	0.4	399064.5	4	"왜 하필 지금일까?" 이란-이스라엘 전쟁 9분 정리
lGPRdqxBnMo	20250522	1733796	1899	3.1	563721.5	4	"건드리면 팔 다리 하나씩은 가져간다" 대한민국의 잘 안 알려진 국방전략 "고슴도치 전략" | 화력덕후 2
gN4_pGQd9dU	20250501	735792	1370	None	None	0	"광기의 화력덕후" 대한민국에 숨겨진 국방부가 있다? 포방부 | 화력덕후 1
OXv1oHNkJT4	20250501	1274435	1022	None	None	0	"걍 걸어가다 죽어라?" 왜 이렇게 싸웠을까? 총알이 날아오는데도 천천히 걸어가는 광기의 군인, 전열보병
E80G2xX8G1Q	20241115	212215	1791	0.9	235803.5	4	[총정리] 개꿀잼이었던 미국 대선 ㅋㅋㅋㅋㅋ | [싱글벙글 미국 5]
mpXBFPZPKH0	20241027	310415	805	1.5	201859.0	4	"북한을 멸망시킬 수 있을까?" | 북한 붕괴 5가지 시나리오 [싱글벙글 북한 9]
bqOi5r2wD9k	20241021	191503	547	0.7	280104	3	"전쟁이 시작된 것이다" 💥 북한이 특수부대를 파병한 이유 💥, 러시아-우크라이나 전쟁 [싱글벙글 북한 8]
7XqNZD0dQk8	20241018	280104	846	1.5	191503	3	김일성 죽고 김정일이 벌인 개뻘짓 | 북한에서 열린 프로레슬링 wcw,wwe,wwf [싱글벙글 북한 7]
BRGqETtbnk0	20241008	159984	660	0.6	280104	3	세종이 개빡치면 벌어지는 일
gpHSO_gRIHo	20240810	400355	428	0.9	449918.5	4	개쩔었던 88서울올림픽 개막식
tDeHTK_vcQA	20240805	706808	654	1.2	605153.5	6	올림픽 개막식 근본
K2YZp3i96zQ	20240805	824870	508	1.5	553581.5	6	올림픽이 태권도 퇴출 못하는 진짜 이유
s1ZBDF2ip78	20240726	119931	2481	0.2	758380.0	6	올림픽 몰아보기
nVGrqmQXMEA	20240726	193029	1645	0.3	758380.0	6	《88 서울올림픽》 개최한 진짜 이유와 의미
Qbo0meRVYGE	20240719	809952	862	1.1	706808	5	≪축구 역사상 최악의 경기≫ "평양가서 살아돌아온 썰 푼다.." ⚽️ 일본 vs 북한 축구 ⚽️ 북한 스포츠 1편  [싱글벙글 북한 6]
O-6mc9YIkb8	20240719	848532	846	1.2	706808	5	북한 외교가 망한 이유 ㅋㅋㅋ [싱글벙글 북한 5]
A46szWAm3LQ	20240627	670756	696	3.0	221017	3	(6.25) 한국을 도와준 바보형들 ㅋㅋㅋ 💥 [싱글벙글 북한 4]
K454pR3IRFw	20240620	305434	963	1.5	207632.0	4	6.25 당시 은밀한(?) 면회 💋 한국전쟁에 대한 재밌는 사실 (feat. 마오안잉) [싱글벙글 북한 3]
uRPtEQ7kIFU	20240610	194247	987	0.7	263225.5	4	(총정리) 밀양  집단 성폭행 사건 요약
MofYYMPv1LY	20240606	221017	2402	0.9	249840.5	4	🔥막장 드라마 뺨치는🔥 재벌가 이혼 몰아보기 (feat. 삼성, SK)
Jn4DPA0ROHc	20240604	190220	1188	0.9	221017	3	(총정리) SK 최태원-노소영 이혼 풀스토리, 1조 3천억짜리 회장님의 로맨스 | 내연녀 김희영
FsQaUfYXw4o	20231227	54274	499	0.2	337541	3	노비가 자기 주인을 고소했다? (feat. 조선사 쩐의 전쟁), 소송의 나라 조선
OJMXVaPy8gc	20231201	337541	624	5.4	62713	5	《서울의 봄》 이후 💥 이들은 어떻게 되었을까?, 12.12 마지막 이야기 《총정리》
bf9OxIwJU_4	20231128	705277	832	11.2	62713	5	《서울의 봄》 보기 전 ✔️ 실제역사 총정리, 12.12사태 실제사건+실존인물 요약
L620LnHg9v4	20231115	296333	872	1.5	200127.0	4	"'고려거란전쟁"이 낳은 한반도 역사상 최고로 드라마틱한 왕
76_EIdxgel8	20231105	62713	524	0.2	316937.0	4	조선을 발칵 뒤집어 놓은 性 스캔들 (feat. 전청조)
p1990FGaX88	20231025	56009	615	0.2	316937.0	4	도대체 왜 싸울까? 이스라엘 팔레스타인, 하마스 끝나지 않는 전쟁의 역사적 이유
AqIYqF4gXHY	20230209	292001	694	None	None	0	조선 왕조 가족시트콤 ㅋㅋㅋ (feat. 편지로 보는)
ZLqq-byR1_Q	20230108	123308	611	0.4	292001	5	왜 아르헨티나는 백인 국가가 되었을까?
pAkSfXoYlNY	20221230	61858	861	0.1	427660.0	6	2022년 요약
F6XxfV1ZBYg	20221226	170938	1996	1.4	123308	3	재벌집 막내아들, 실제 이야기는 어땠을까?
lPfj-BcUkHU	20221207	732573	640	1.3	563319	3	인구 14억 중국은 왜 축구를 못할까? (feat. 시진핑, 덩샤오핑)
QbL08sB1RX8	20221201	710229	553	4.2	170938	5	축구의 신이 버린 비운의 월드컵 참가국 이야기
Nc2wo9ouKPo	20221126	563319	404	1.3	440583.5	4	역사상 가장 막장이었던 월드컵 (Feat. 히틀러)
rtASk-Hsd5g	20220309	239981	891	0.7	334055.0	6	이재용은 누구 찍었을까? 이재용에 대한 재밌는 사실 2 (feat. 이재명, 윤석열)
CuM90xgrq0c	20220306	318733	786	1.0	318447.0	6	러시아-우크라이나 전쟁의 스노우볼 (feat. 미국의 삽질)
mQh_3lRGylA	20220221	283052	798	0.9	318733	5	중국이 '무조건' 금메달을 따야했던 이유 (feat. 시진핑) , 베이징 동계올림픽의 정치적 의미
alpHll9mwxc	20220211	287517	703	0.5	629847.0	4	동계올림픽, 당신이 몰랐던 31가지 재밌는 사실
TGYv7olxGhk	20220211	910317	636	2.9	318447.0	4	올림픽, 당신이 몰랐던 38가지 재밌는 사실
Gx6q_Wnhn6E	20220209	2696043	480	8.5	318447.0	4	(동물의왕국) 올림픽 선수촌
