id	date	views	dur	mult	denom	n	title
nac6TApcwAo	20260826	1020	915	0.3	4019	49	“트럼프가 매달리는 이유” 미국에 싹다 퍼진 충격 소문. 한국 조선업 진짜 무서워진다 | 김민석 특파원 3부
7CreoKjfXO0	20260826	237	1944	0.1	4019	49	“S&P500 너무 비싸다” SCHD, SPY 말고 ETF ‘이것’ 사세요 결국 죽을 때까지 오른다  | 마지혜 작가 1부
NmX_jSJ2418	20260826	95	1011	0.0	4019	49	“반도체 충격 전망” 삼성전자 110조 역대급 주주환원. 오히려 주가 빠진 진짜 이유 | 이희근 대표 2부
tJ1N_5NEa4E	20260826	1005	2261	0.3	4019	49	“서울 살면 못돌아간다” 최근 미국인들 싹다 걸렸다. 한국으로 몰려오는 진짜 이유 | 김상조 교수 통합 2부
Uy3DWeoqRAg	20260826	795	1245	0.2	4019	49	“한국 증시 심상치 않다” 곧 코스피 무서운 일 터진다. 한 주라도 있다면 ‘이렇게' 하세요 | 차영주 소장 통합2부
nzG4Bt2T2j4	20260826	4091	1698	1.1	3892	49	“언론은 쉬쉬하고 있어요” 금값 3일 뒤 무시무시할 겁니다. 앞으로 금 싹다 ‘이렇게’ 하세요 | 금남일 대표 통합 1부
mWKoUvkG7e8	20260826	7619	2671	2.0	3892	49	“트럼프의 진짜 노림수” 미국의 진짜 무서운 계획. 비트코인 무시무시한 일 터진다 | 김창익 대표 통합1부
DgfkL4AgZ5E	20260826	1102	1438	0.3	4019	49	“5060들은 꼭 사세요” 배당주 ETF ‘이거’만 사라. 저는 이걸로 싹다 바꿨어요 | 김수한 작가 통합2부
_wIUeXRx-W4	20260826	3255	3702	0.8	4019	49	“우크라 난리난 진짜 이유” 한국 자폭드론에 전세계 경악. 곧 무시무시한 일 터질 겁니다 | 이철재 기자 전체통합
1LTUT3nfh4k	20260826	534	1330	0.1	4019	49	“나중에 억소리 난다” 5천만원으로 ‘이 주식’ 다 사세요. 9월부터 정말 무섭게 오를 겁니다 | 이명로 작가 1부
LWXAifIL5nU	20260826	19907	702	5.1	3892	49	“제발 한국 잠수함 주세요” 미국 결단에 캐나다 돌변한 이유 | 문근식 교수 2부
AqwLjpsYhPc	20260826	156	1269	0.0	4019	49	몇년간 투자 공부했는데 결국 돈 다 잃는 진짜 이유 | 카일 4부
objiHxuOaaY	20260825	4019	4837	1.0	3892	49	“남녀혼탕도 마찬가지로..” 속옷 안 입는 일본 여자들. 한국인들이 모르는 기모노 실체 | 호사카 유지, 구완회, 떠먹여줌 특집
tAiYqdsc4jc	20260825	3260	1746	0.8	4019	49	제주식당, 주류회사 담합에 초강수 “손님이 술 직접 사오세요” | 떠먹여줌
FahOffKAVN8	20260825	1524	1711	0.4	4019	49	추가 파병 소식에 평양 발칵. 속았다 싹다 난리난 이유 | 김주성, 림일 특집
gCsFkhwgwVE	20260825	4171	1721	1.1	3892	49	“연 10% 나온다” 60대는 ETF ‘이것’만 사세요. 배당으로 평생 부자 됩니다 | 김수한 작가 통합1부
